subject,arm,layer,layer_name,alpha,cv_mean_r,fold_scores
UTS01,base,32,layer_32,215.44346900318823,-0.003933949978090823,"[-0.0033610642421990633, -0.004506835713982582]"
UTS01,base,32,layer_32,359.38136638046257,-0.003969757468439639,"[-0.0033570413943380117, -0.0045824735425412655]"
UTS01,base,32,layer_32,599.4842503189409,-0.004002062720246613,"[-0.0033346794079989195, -0.0046694460324943066]"
UTS01,base,32,layer_32,1000.0,-0.004032918717712164,"[-0.0033004069700837135, -0.004765430465340614]"
UTS01,lowLR,16,layer_16,10.0,-0.004032327211461961,"[-0.003873316338285804, -0.004191338084638119]"
UTS01,lowLR,16,layer_16,16.68100537200059,-0.0046114930883049965,"[-0.003972803242504597, -0.005250182934105396]"
UTS01,lowLR,16,layer_16,27.825594022071243,-0.004912263131700456,"[-0.003793564857915044, -0.0060309614054858685]"
UTS01,lowLR,16,layer_16,46.41588833612777,-0.004996237228624523,"[-0.0034685113932937384, -0.006523963063955307]"
UTS01,lowLR,16,layer_16,77.4263682681127,-0.004990624380297959,"[-0.003164079738780856, -0.006817169021815062]"
UTS01,lowLR,16,layer_16,129.1549665014884,-0.004970753216184676,"[-0.0029462974052876234, -0.006995209027081728]"
UTS01,lowLR,16,layer_16,215.44346900318823,-0.004961916944012046,"[-0.002813875675201416, -0.007109958212822676]"
UTS01,lowLR,16,layer_16,359.38136638046257,-0.004966349108144641,"[-0.002746736630797386, -0.007185961585491896]"
UTS01,lowLR,16,layer_16,599.4842503189409,-0.004975550342351198,"[-0.0027254032902419567, -0.00722569739446044]"
UTS01,lowLR,16,layer_16,1000.0,-0.004971775342710316,"[-0.0027323185931891203, -0.007211232092231512]"
UTS01,lowLR,24,layer_24,10.0,-0.006747494684532285,"[-0.008999111130833626, -0.004495878238230944]"
UTS01,lowLR,24,layer_24,16.68100537200059,-0.00719001074321568,"[-0.008993960916996002, -0.005386060569435358]"
UTS01,lowLR,24,layer_24,27.825594022071243,-0.00736776296980679,"[-0.008718297816812992, -0.006017228122800589]"
UTS01,lowLR,24,layer_24,46.41588833612777,-0.007380172377452254,"[-0.008352789096534252, -0.006407555658370256]"
UTS01,lowLR,24,layer_24,77.4263682681127,-0.007338464492931962,"[-0.008035419508814812, -0.006641509477049112]"
UTS01,lowLR,24,layer_24,129.1549665014884,-0.0073017836548388,"[-0.007814946584403515, -0.006788620725274086]"
UTS01,lowLR,24,layer_24,215.44346900318823,-0.007288435474038124,"[-0.007685639429837465, -0.006891231518238783]"
UTS01,lowLR,24,layer_24,359.38136638046257,-0.007299437886103988,"[-0.007627063896507025, -0.006971811875700951]"
UTS01,lowLR,24,layer_24,599.4842503189409,-0.007329010870307684,"[-0.0076197292655706406, -0.007038292475044727]"
UTS01,lowLR,24,layer_24,1000.0,-0.00736657390370965,"[-0.007645805366337299, -0.007087342441082001]"
UTS01,lowLR,32,layer_32,10.0,-0.002935702563263476,"[-0.002455056644976139, -0.0034163484815508127]"
UTS01,lowLR,32,layer_32,16.68100537200059,-0.0032554242061451077,"[-0.002664973260834813, -0.0038458751514554024]"
UTS01,lowLR,32,layer_32,27.825594022071243,-0.0034484206698834896,"[-0.0027913441881537437, -0.0041054971516132355]"
UTS01,lowLR,32,layer_32,46.41588833612777,-0.0035822782665491104,"[-0.0029078186489641666, -0.004256737884134054]"
UTS01,lowLR,32,layer_32,77.4263682681127,-0.003678477369248867,"[-0.0030021402053534985, -0.004354814533144236]"
UTS01,lowLR,32,layer_32,129.1549665014884,-0.0037526657106354833,"[-0.003069987753406167, -0.0044353436678647995]"
UTS01,lowLR,32,layer_32,215.44346900318823,-0.003820534562692046,"[-0.0031215972267091274, -0.004519471898674965]"
UTS01,lowLR,32,layer_32,359.38136638046257,-0.0038942218525335193,"[-0.003168458351865411, -0.004619985353201628]"
UTS01,lowLR,32,layer_32,599.4842503189409,-0.003981953603215516,"[-0.003221044084057212, -0.004742863122373819]"
UTS01,lowLR,32,layer_32,1000.0,-0.004088560119271278,"[-0.003290696069598198, -0.004886424168944359]"
UTS01,scrambled,16,layer_16,10.0,-0.00394177675480023,"[-0.0012110747629776597, -0.006672478746622801]"
UTS01,scrambled,16,layer_16,16.68100537200059,-0.004246692406013608,"[-0.0019913138821721077, -0.006502070929855108]"
UTS01,scrambled,16,layer_16,27.825594022071243,-0.004539567045867443,"[-0.002745306119322777, -0.006333827972412109]"
UTS01,scrambled,16,layer_16,46.41588833612777,-0.004769394756294787,"[-0.0033298658672720194, -0.0062089236453175545]"
UTS01,scrambled,16,layer_16,77.4263682681127,-0.004928196780383587,"[-0.0037268176674842834, -0.00612957589328289]"
UTS01,scrambled,16,layer_16,129.1549665014884,-0.005040059331804514,"[-0.003993429243564606, -0.006086689420044422]"
UTS01,scrambled,16,layer_16,215.44346900318823,-0.005132563877850771,"[-0.004193842876702547, -0.006071284878998995]"
UTS01,scrambled,16,layer_16,359.38136638046257,-0.005227346671745181,"[-0.004378202836960554, -0.006076490506529808]"
UTS01,scrambled,16,layer_16,599.4842503189409,-0.005340259056538343,"[-0.0045843892730772495, -0.006096128839999437]"
UTS01,scrambled,16,layer_16,1000.0,-0.005481171188876033,"[-0.004839335102587938, -0.006123007275164127]"
UTS01,scrambled,24,layer_24,10.0,-0.0009212568365910556,"[0.0001130378877860494, -0.0019555515609681606]"
UTS01,scrambled,24,layer_24,16.68100537200059,-0.0005512871575774625,"[0.00018684714450500906, -0.001289421459659934]"
UTS01,scrambled,24,layer_24,27.825594022071243,-0.0002838604632415809,"[0.00021461832511704415, -0.0007823392516002059]"
UTS01,scrambled,24,layer_24,46.41588833612777,-0.00010140029189642519,"[0.00022665286087431014, -0.0004294534446671605]"
UTS01,scrambled,24,layer_24,77.4263682681127,2.5061039195861667e-05,"[0.00023972189228516072, -0.00018959981389343739]"
UTS01,scrambled,24,layer_24,129.1549665014884,0.00011474951679701917,"[0.00024934523389674723, -1.9846200302708894e-05]"
UTS01,scrambled,24,layer_24,215.44346900318823,0.00018228179760626517,"[0.00025035531143657863, 0.00011420828377595171]"
UTS01,scrambled,24,layer_24,359.38136638046257,0.00023876113118603826,"[0.00024070442304946482, 0.0002368178393226117]"
UTS01,scrambled,24,layer_24,599.4842503189409,0.0002900575418607332,"[0.00021938442660029978, 0.0003607306571211666]"
UTS01,scrambled,24,layer_24,1000.0,0.00033538538264110684,"[0.00018664204981178045, 0.00048412871547043324]"
UTS01,scrambled,32,layer_32,10.0,0.00027768913423642516,"[-0.0005652605323120952, 0.0011206388007849455]"
UTS01,scrambled,32,layer_32,16.68100537200059,0.00024326771381311119,"[-0.0007200213731266558, 0.0012065568007528782]"
UTS01,scrambled,32,layer_32,27.825594022071243,0.0002004334528464824,"[-0.0008595212711952627, 0.0012603881768882275]"
UTS01,scrambled,32,layer_32,46.41588833612777,0.00016403882182203233,"[-0.0009628483676351607, 0.0012909260112792253]"
UTS01,scrambled,32,layer_32,77.4263682681127,0.00013163575204089284,"[-0.0010431190021336079, 0.0013063905062153935]"
