arm,layer,layer_name,format_a,format_b,control_type,n_concepts,matched_score,matched_ci_low,matched_ci_high,control_score,control_ci_low,control_ci_high,paired_delta,ci_low,ci_high,p_perm_greater,retrieval_top1,retrieval_top5,retrieval_margin
base,3,layer_3,triplet,pairwise,lexical,128,0.9357516095042229,0.9351608647266403,0.9363133476115764,0.9351253225468099,0.9347071447293274,0.9355027104727924,0.0006262869574129581,0.0002977430471219122,0.0009731587721034884,0.000999000999000999,0.015625,0.1171875,-0.006018300773575902
base,3,layer_3,triplet,pairwise,category_proxy,128,0.9357516095042229,0.9351350828073919,0.9363828631700016,0.9351544501259923,0.9347215192858129,0.9355469832546077,0.0005971593782305717,0.0002477145288139582,0.0009486304596066471,0.000999000999000999,0.015625,0.1171875,-0.006018300773575902
base,3,layer_3,triplet,feature_listing,random,128,0.9730631983838975,0.9728476646938361,0.9732795661897399,0.9724213946610689,0.9722536232788116,0.9726045580115169,0.0006418037228286266,0.0005039973882958293,0.0007931357482448219,0.000999000999000999,0.03125,0.19140625,-0.0014948525931686163
base,3,layer_3,triplet,feature_listing,close_neighbor,128,0.9730631983838975,0.9728404903085902,0.9732496735523455,0.9727713060565293,0.9726020407513716,0.9729468757519498,0.00029189232736825943,0.0001834164373576641,0.0004042341839522123,0.000999000999000999,0.03125,0.19140625,-0.0014948525931686163
base,3,layer_3,triplet,feature_listing,far_neighbor,128,0.9730631983838975,0.972875724651385,0.9732599144335836,0.9722422906197608,0.972096759174019,0.972412572382018,0.0008209077641367912,0.0006747711333446205,0.0009617717005312442,0.000999000999000999,0.03125,0.19140625,-0.0014948525931686163
base,3,layer_3,triplet,feature_listing,lexical,128,0.9730631983838975,0.972868973237928,0.9732648197677918,0.9725718284025788,0.9724046227172949,0.9727490672143176,0.0004913699813187122,0.0003451336873695254,0.0006390580441802736,0.000999000999000999,0.03125,0.19140625,-0.0014948525931686163
base,3,layer_3,triplet,feature_listing,category_proxy,128,0.9730631983838975,0.9728721785941161,0.9732683783164248,0.9725987715646625,0.9724313214654103,0.9727823097957298,0.00046442681923508644,0.00034006490604951976,0.0006006419425830245,0.000999000999000999,0.03125,0.19140625,-0.0014948525931686163
base,3,layer_3,pairwise,feature_listing,random,128,0.9140783031471074,0.9138653375091963,0.9143042182200588,0.9138509104959667,0.9136841295054182,0.9140133590903133,0.00022739265114068985,6.0107558965682983e-05,0.00035114984493702636,0.003996003996003996,0.0078125,0.05859375,-0.003913710126653314
base,3,layer_3,pairwise,feature_listing,close_neighbor,128,0.9140783031471074,0.9138632530346513,0.914331705821678,0.9140426721423864,0.9138866472872905,0.9141887274105102,3.5631004720926285e-05,-0.00011760483030229806,0.00018497979035601018,0.33766233766233766,0.0078125,0.05859375,-0.003913710126653314
base,3,layer_3,pairwise,feature_listing,far_neighbor,128,0.9140783031471074,0.9138485762639903,0.9143028502701782,0.9136963286437094,0.9135489039006643,0.9138335105031729,0.0003819745033979416,0.00021742635872215032,0.0005297700176015496,0.000999000999000999,0.0078125,0.05859375,-0.003913710126653314
base,3,layer_3,pairwise,feature_listing,lexical,128,0.9140783031471074,0.9138894006726332,0.9143067975644954,0.9139295415952802,0.9137744147446938,0.9140945506864228,0.0001487615518271923,1.182270934805274e-05,0.00030667840037494886,0.028971028971028972,0.0078125,0.05859375,-0.003913710126653314
base,3,layer_3,pairwise,feature_listing,category_proxy,128,0.9140783031471074,0.9138465510914102,0.9142857536207885,0.9138757851906121,0.9137200495810248,0.9140365154133179,0.00020251795649528503,8.098488906398416e-05,0.00033958287676796314,0.002997002997002997,0.0078125,0.05859375,-0.003913710126653314
base,3,layer_3,__mean__,__mean__,random,128,0.940964370345076,0.9406438813350784,0.9412986816178698,0.9404432652518153,0.9401692486989002,0.940703147467381,0.0005211050932606062,0.00027612009240935245,0.0007499108789488671,0.001998001998001998,0.018229166666666668,0.12239583333333333,-0.0038089544977992773
