subject,arm,layer,layer_name,alpha,cv_mean_r,fold_scores
UTS02,taskvec_a0p25,24,layer_24,215.44346900318823,-0.011732201557606459,"[-0.014530830085277557, -0.00893357302993536]"
UTS02,taskvec_a0p25,24,layer_24,359.38136638046257,-0.011727758217602968,"[-0.01465362124145031, -0.008801895193755627]"
UTS02,taskvec_a0p25,24,layer_24,599.4842503189409,-0.011750560253858566,"[-0.014801179990172386, -0.008699940517544746]"
UTS02,taskvec_a0p25,24,layer_24,1000.0,-0.011801809538155794,"[-0.014973003417253494, -0.008630615659058094]"
UTS02,taskvec_a0p25,32,layer_32,10.0,-0.009411782026290894,"[-0.014251037500798702, -0.004572526551783085]"
UTS02,taskvec_a0p25,32,layer_32,16.68100537200059,-0.00914118206128478,"[-0.014298439025878906, -0.003983925096690655]"
UTS02,taskvec_a0p25,32,layer_32,27.825594022071243,-0.008892989601008594,"[-0.014150978997349739, -0.003635000204667449]"
UTS02,taskvec_a0p25,32,layer_32,46.41588833612777,-0.00867339689284563,"[-0.013896800577640533, -0.003449993208050728]"
UTS02,taskvec_a0p25,32,layer_32,77.4263682681127,-0.008488500607199967,"[-0.013637340627610683, -0.0033396605867892504]"
UTS02,taskvec_a0p25,32,layer_32,129.1549665014884,-0.008347063208930194,"[-0.013440086506307125, -0.0032540399115532637]"
UTS02,taskvec_a0p25,32,layer_32,215.44346900318823,-0.008246836834587157,"[-0.013325338251888752, -0.0031683354172855616]"
UTS02,taskvec_a0p25,32,layer_32,359.38136638046257,-0.008179284515790641,"[-0.013285932131111622, -0.0030726369004696608]"
UTS02,taskvec_a0p25,32,layer_32,599.4842503189409,-0.00813724857289344,"[-0.013300981372594833, -0.002973515773192048]"
UTS02,taskvec_a0p25,32,layer_32,1000.0,-0.008119067526422441,"[-0.013335893861949444, -0.002902241190895438]"
UTS03,base,16,layer_16,10.0,0.004971214337274432,"[0.0030122599564492702, 0.006930168718099594]"
UTS03,base,16,layer_16,16.68100537200059,0.006554880645126104,"[0.0039700670167803764, 0.009139694273471832]"
UTS03,base,16,layer_16,27.825594022071243,0.007866050815209746,"[0.004901975858956575, 0.010830125771462917]"
UTS03,base,16,layer_16,46.41588833612777,0.008825554512441158,"[0.005686669610440731, 0.011964439414441586]"
UTS03,base,16,layer_16,77.4263682681127,0.00946978572756052,"[0.006260741502046585, 0.012678829953074455]"
UTS03,base,16,layer_16,129.1549665014884,0.009898973628878593,"[0.00666450709104538, 0.013133440166711807]"
UTS03,base,16,layer_16,215.44346900318823,0.010213932488113642,"[0.006980927661061287, 0.013446937315165997]"
UTS03,base,16,layer_16,359.38136638046257,0.010489486623555422,"[0.007283676415681839, 0.013695296831429005]"
UTS03,base,16,layer_16,599.4842503189409,0.01077332766726613,"[0.007625761441886425, 0.013920893892645836]"
UTS03,base,16,layer_16,1000.0,0.01108531467616558,"[0.008037463761866093, 0.014133165590465069]"
UTS03,base,24,layer_24,10.0,-0.003682098744320683,"[-0.00040053235716186464, -0.006963665131479502]"
UTS03,base,24,layer_24,16.68100537200059,-0.001711008299025707,"[0.0003035626432392746, -0.0037255792412906885]"
UTS03,base,24,layer_24,27.825594022071243,-5.483278073370457e-05,"[0.0009617598261684179, -0.001071425387635827]"
UTS03,base,24,layer_24,46.41588833612777,0.0011407473066356033,"[0.001467892900109291, 0.0008136017131619155]"
UTS03,base,24,layer_24,77.4263682681127,0.0019412810797803104,"[0.001826333929784596, 0.002056228229776025]"
UTS03,base,24,layer_24,129.1549665014884,0.0024832625640556216,"[0.002092568436637521, 0.0028739566914737225]"
UTS03,base,24,layer_24,215.44346900318823,0.0028875137213617563,"[0.0023249683436006308, 0.003450059099122882]"
UTS03,base,24,layer_24,359.38136638046257,0.003242256701923907,"[0.002571818185970187, 0.003912695217877626]"
UTS03,base,24,layer_24,599.4842503189409,0.003606326295994222,"[0.002869576448574662, 0.004343076143413782]"
UTS03,base,24,layer_24,1000.0,0.004009844269603491,"[0.0032382886856794357, 0.004781399853527546]"
UTS03,base,32,layer_32,10.0,-0.007548695430159569,"[-0.004943632520735264, -0.010153758339583874]"
UTS03,base,32,layer_32,16.68100537200059,-0.006316620158031583,"[-0.004679561126977205, -0.00795367918908596]"
UTS03,base,32,layer_32,27.825594022071243,-0.005240048747509718,"[-0.004343494772911072, -0.006136602722108364]"
UTS03,base,32,layer_32,46.41588833612777,-0.004427184350788593,"[-0.004000975750386715, -0.004853392951190472]"
UTS03,base,32,layer_32,77.4263682681127,-0.003865185542963445,"[-0.0037166455294936895, -0.004013725556433201]"
UTS03,base,32,layer_32,129.1549665014884,-0.0034894461277872324,"[-0.0035140374675393105, -0.0034648547880351543]"
UTS03,base,32,layer_32,215.44346900318823,-0.003232408780604601,"[-0.003383839502930641, -0.0030809780582785606]"
UTS03,base,32,layer_32,359.38136638046257,-0.0030422003474086523,"[-0.003308679210022092, -0.0027757214847952127]"
UTS03,base,32,layer_32,599.4842503189409,-0.0028858762234449387,"[-0.003276006318628788, -0.0024957461282610893]"
UTS03,base,32,layer_32,1000.0,-0.002747810212895274,"[-0.0032795690931379795, -0.002216051332652569]"
UTS03,lowLR,16,layer_16,10.0,0.004370237002149224,"[0.0035557933151721954, 0.005184680689126253]"
UTS03,lowLR,16,layer_16,16.68100537200059,0.005985522177070379,"[0.0040945010259747505, 0.007876543328166008]"
UTS03,lowLR,16,layer_16,27.825594022071243,0.007266617845743895,"[0.004591146484017372, 0.009942089207470417]"
UTS03,lowLR,16,layer_16,46.41588833612777,0.00817607599310577,"[0.005010151769965887, 0.011342000216245651]"
UTS03,lowLR,16,layer_16,77.4263682681127,0.0087810093536973,"[0.005327782593667507, 0.012234236113727093]"
UTS03,lowLR,16,layer_16,129.1549665014884,0.009188659489154816,"[0.00557258166372776, 0.012804737314581871]"
UTS03,lowLR,16,layer_16,215.44346900318823,0.009495977545157075,"[0.005797319579869509, 0.013194635510444641]"
UTS03,lowLR,16,layer_16,359.38136638046257,0.009773636236786842,"[0.00605130847543478, 0.013495963998138905]"
UTS03,lowLR,16,layer_16,599.4842503189409,0.010067322524264455,"[0.006373024079948664, 0.013761620968580246]"
UTS03,lowLR,16,layer_16,1000.0,0.010396462632343173,"[0.0067841471172869205, 0.014008778147399426]"
UTS03,lowLR,24,layer_24,10.0,-0.0023845236864872277,"[0.0013576502678915858, -0.006126697640866041]"
UTS03,lowLR,24,layer_24,16.68100537200059,-0.00034403137397021055,"[0.002013957127928734, -0.002702019875869155]"
UTS03,lowLR,24,layer_24,27.825594022071243,0.0013753173116128892,"[0.002617517951875925, 0.00013311667134985328]"
UTS03,lowLR,24,layer_24,46.41588833612777,0.002621066407300532,"[0.003076521446928382, 0.002165611367672682]"
UTS03,lowLR,24,layer_24,77.4263682681127,0.0034566569374874234,"[0.003400875488296151, 0.0035124383866786957]"
