arm,layer,layer_name,format_a,format_b,n_concepts,same_similarity,same_similarity_ci_low,same_similarity_ci_high,random_similarity,random_similarity_ci_low,random_similarity_ci_high,close_neighbor_similarity,close_neighbor_similarity_ci_low,close_neighbor_similarity_ci_high,far_neighbor_similarity,far_neighbor_similarity_ci_low,far_neighbor_similarity_ci_high,same_minus_random,same_minus_random_ci_low,same_minus_random_ci_high,same_minus_close_neighbor,same_minus_close_neighbor_ci_low,same_minus_close_neighbor_ci_high,same_minus_far_neighbor,same_minus_far_neighbor_ci_low,same_minus_far_neighbor_ci_high,retrieval_top1,retrieval_top5,retrieval_margin
lowrank,26,layer_26,triplet,feature_listing,128,0.6811033571138978,0.6754040095722302,0.6867592704598792,0.6130960327573121,0.6080293716862798,0.6188179618329741,0.7155817965976894,0.7101709403214045,0.7208551471703686,0.60605045594275,0.6011546228313819,0.6108835527789779,0.06800732435658574,0.06337626985041425,0.07235314495628699,-0.03447843948379159,-0.038841642625629905,-0.029774354456458242,0.07505290117114782,0.06962342947954311,0.07996226083487272,0.0078125,0.61328125,-0.05472940392792225
lowrank,26,layer_26,pairwise,feature_listing,128,0.5534611332695931,0.5486074693675619,0.5580652749456931,0.5101704131811857,0.5059913048171438,0.5141862534161191,0.5532024393323809,0.5484452386852354,0.5576608173549176,0.49768655584193766,0.4944706199516077,0.5010155267256777,0.0432907200884074,0.040927377273328604,0.045663950109155846,0.0002586939372122288,-0.0014645196264609695,0.002074281277600676,0.05577457742765546,0.05235997270792723,0.05893954659695737,0.1640625,0.62890625,-0.014742963016033173
lowrank,26,layer_26,__mean__,__mean__,128,0.5890142500090102,0.5838992934014336,0.5938947049648656,0.5338238841698816,0.529446713498328,0.5384012907433013,0.5978606084827334,0.5931216259545181,0.6024195559284029,0.5257071064164242,0.5218159093715561,0.5296724600542803,0.055190365839128695,0.05163481202131758,0.05862082466677141,-0.008846358473723134,-0.011698837333824487,-0.005913088445474084,0.06330714359258612,0.059209094148051616,0.06708170986191059,0.14453125,0.6471354166666666,-0.026341501623392105
lowrank,27,layer_27,triplet,pairwise,128,0.5316420611925423,0.5275432945811189,0.5355806700245012,0.48999448167160153,0.4853304672113154,0.4946285506885033,0.5264574133325368,0.5227252653741743,0.5298419842496515,0.4879769633989781,0.4850140955939423,0.4907812761783134,0.04164757952094078,0.03897544921492226,0.044732330716215074,0.005184647860005498,0.002692664472851902,0.007717759150546044,0.0436650977935642,0.04061165351886302,0.04684299534419552,0.21875,0.59375,-0.015431649284437299
lowrank,27,layer_27,triplet,feature_listing,128,0.7039342862553895,0.6985989778069779,0.7093590794247575,0.6436956766992807,0.6381363303982652,0.6493676155456342,0.7421059980988503,0.7363653659704141,0.7474395663826726,0.6431376039981842,0.638090670760721,0.6478334752493538,0.06023860955610871,0.05592327774502337,0.06397137471940369,-0.0381717118434608,-0.04318890714785084,-0.0332976700970903,0.06079668225720525,0.056037556985393165,0.0655571817071177,0.01171875,0.60546875,-0.060228826478123665
lowrank,27,layer_27,pairwise,feature_listing,128,0.568267974536866,0.5646931032068097,0.5717592077795416,0.5354800871573389,0.5327526514534838,0.5383084714994766,0.5689274671021849,0.5659834677935578,0.5719895476999227,0.5233569506090134,0.5211599107889924,0.525444161548512,0.03278788737952709,0.030889751121867447,0.03465349717298523,-0.0006594925653189421,-0.0019094135728664695,0.0006942187959793954,0.04491102392785251,0.04252521816524677,0.04721182656357996,0.1640625,0.58984375,-0.010505754966288805
lowrank,27,layer_27,__mean__,__mean__,128,0.6012814406615993,0.5969451251983021,0.6055663190762668,0.5563900818427404,0.5520731496876882,0.5607682125778713,0.6124969595111907,0.6083580330460487,0.6164236994440823,0.5514905060020586,0.548088225714552,0.5546863043253931,0.04489135881885886,0.0419294926939377,0.047785734202868,-0.011215518849591414,-0.01413521874928847,-0.008295230716854953,0.04979093465954065,0.046391476223167645,0.0532040012049644,0.13151041666666666,0.5963541666666666,-0.02872207690961659
lowrank,28,layer_28,triplet,pairwise,128,0.5960175506770611,0.5912855423172004,0.6006858943612314,0.5636190313380212,0.5584565911325626,0.5685378421330824,0.5916348788887262,0.587911736452952,0.5950797094963491,0.5655536698177457,0.5624081855290569,0.5687472112593241,0.03239851933903992,0.02999102550675161,0.03462882285821252,0.0043826717883348465,0.0012634255457669497,0.007441621844191104,0.030463880859315395,0.027102984581142665,0.03363019013777375,0.16796875,0.546875,-0.019876322243362665
lowrank,28,layer_28,triplet,feature_listing,128,0.7065172516740859,0.7006238336442039,0.7119993745232932,0.6527286530472338,0.6474465059116483,0.6581076516653411,0.7507616602815688,0.7449235211010091,0.7566028563771396,0.6553717395290732,0.6510393116506747,0.6601317323395051,0.053788598626852036,0.049751846131403,0.05781548597151413,-0.04424440860748291,-0.049387124343775214,-0.03871547540184111,0.05114551214501262,0.046343601343687625,0.0562468794058077,0.0078125,0.55078125,-0.0644558034837246
lowrank,28,layer_28,pairwise,feature_listing,128,0.6405381467193365,0.6373101082979702,0.6436595644801855,0.613673122599721,0.6116373911616393,0.6155748389312066,0.6411920241080225,0.6384463966474868,0.6440816949121654,0.6026497939601541,0.6006257518194615,0.6046533910674043,0.026865024119615555,0.024565970699768513,0.029223871324211358,-0.0006538773886859417,-0.0019263978581875562,0.0004233338986523446,0.03788835275918245,0.03546092545147985,0.04019405576400459,0.1484375,0.55078125,-0.010766083374619484
lowrank,28,layer_28,__mean__,__mean__,128,0.6476909830234945,0.6430731614197914,0.6521149444549034,0.6100069356616586,0.6058468294019501,0.61407344424321,0.6611961877594391,0.657093884733816,0.6652547535952181,0.6078584011023244,0.6046910829997311,0.6111774448887445,0.03768404736183584,0.03476961411264104,0.040556060051312674,-0.013505204735944668,-0.016683365552065274,-0.01028350655299922,0.03983258192117015,0.036302503792103376,0.04335704176919534,0.10807291666666667,0.5494791666666666,-0.03169940303390225
lowrank,29,layer_29,triplet,pairwise,128,0.565339150140062,0.5605133723292965,0.5700431022210978,0.5361471397336572,0.5308150163327809,0.5411360655794851,0.5620934688486159,0.55827026165789,0.5658495189272799,0.5374987693503499,0.5340610905026552,0.540494337468408,0.029192010406404734,0.026818408275721593,0.031605436833342535,0.0032456812914460897,0.0005670711689162999,0.005999152857111767,0.02784038078971207,0.024657177954213693,0.03114364083739929,0.140625,0.515625,-0.021074718795716763
lowrank,29,layer_29,triplet,feature_listing,128,0.6985350991599262,0.6922299342695624,0.7039466967107728,0.643646705430001,0.6384097861940973,0.6487710301065818,0.7479877923615277,0.7419077117927373,0.7537320220493712,0.6463304404169321,0.6414234210387804,0.6511457837186754,0.054888393729925156,0.05085115928668529,0.05920040111523121,-0.049452693201601505,-0.054198143759276715,-0.04373011346906423,0.05220465874299407,0.047069225134328006,0.05754084826912731,0.01171875,0.51953125,-0.06852017715573311
lowrank,29,layer_29,pairwise,feature_listing,128,0.5972110158763826,0.593689730844926,0.6006018663640134,0.5704381922259927,0.568597239034716,0.572233103599865,0.5980817773379385,0.5951956060016528,0.6013040914433077,0.5594392130151391,0.5573573529836722,0.5615392878651619,0.02677282365038991,0.02438407363370061,0.029148010280914606,-0.0008707614615559578,-0.0022408683085814118,0.0005223763408139348,0.037771802861243486,0.03516697792802006,0.04033243994927034,0.10546875,0.484375,-0.012780582997947931
