arm,layer,layer_name,n_concepts,top1_accuracy,top5_accuracy,top1_unique_fraction,top1_max_occurrence,top1_gini,top1_entropy_norm,top5_unique_fraction,top5_max_occurrence,mnn_accuracy,mnn_fraction,csls_top1_accuracy,csls_top5_accuracy,csls_top1_unique_fraction,csls_top1_max_occurrence,csls_top1_gini,csls_top1_entropy_norm,csls_top5_unique_fraction,csls_top5_max_occurrence,csls_mnn_accuracy,csls_mnn_fraction
base,10,layer_10,128,0.009114583333333334,0.059895833333333336,0.013020833333333334,127.0,0.9920450846354166,0.008523409846358094,0.08463541666666667,127.83333333333333,0.0,0.0078125,0.016927083333333332,0.0859375,0.026041666666666668,107.33333333333333,0.98858642578125,0.107576460770386,0.1171875,127.83333333333333,0.0,0.010416666666666666
base,11,layer_11,128,0.009114583333333334,0.05859375,0.022135416666666668,121.83333333333333,0.9910481770833334,0.04311989793745064,0.06380208333333333,128.0,0.0,0.010416666666666666,0.016927083333333332,0.07291666666666667,0.033854166666666664,97.66666666666667,0.9847412109375,0.1528952569055306,0.10416666666666667,127.33333333333333,0.0,0.013020833333333334
base,12,layer_12,128,0.013020833333333334,0.053385416666666664,0.014322916666666666,106.33333333333333,0.9894816080729166,0.06742780037285537,0.06770833333333333,127.83333333333333,0.0,0.0078125,0.014322916666666666,0.06380208333333333,0.02734375,95.0,0.9869588216145834,0.12180624506266385,0.09765625,127.16666666666667,0.0,0.0078125
base,13,layer_13,128,0.014322916666666666,0.06510416666666667,0.02734375,80.5,0.9848836263020834,0.15510658063974275,0.09244791666666667,125.66666666666667,0.0,0.010416666666666666,0.020833333333333332,0.09765625,0.049479166666666664,71.83333333333333,0.9784749348958334,0.22056380158153213,0.16536458333333334,115.16666666666667,0.0026041666666666665,0.018229166666666668
base,14,layer_14,128,0.015625,0.06901041666666667,0.033854166666666664,76.0,0.9804484049479166,0.19816935478710476,0.09375,123.16666666666667,0.0,0.013020833333333334,0.024739583333333332,0.10546875,0.0625,54.833333333333336,0.970458984375,0.2918544071657107,0.18098958333333334,115.0,0.0026041666666666665,0.018229166666666668
base,15,layer_15,128,0.015625,0.07552083333333333,0.02734375,102.5,0.9875284830729166,0.10521356817536202,0.1171875,127.33333333333333,0.0026041666666666665,0.0078125,0.028645833333333332,0.1171875,0.07552083333333333,79.16666666666667,0.9762166341145834,0.2557665317342044,0.20703125,117.0,0.0026041666666666665,0.015625
base,16,layer_16,128,0.020833333333333332,0.09375,0.0390625,87.83333333333333,0.9833984375,0.16301954890939221,0.13151041666666666,121.0,0.0,0.013020833333333334,0.05078125,0.16666666666666666,0.10286458333333333,59.666666666666664,0.9547526041666666,0.34473241507174085,0.2669270833333333,104.16666666666667,0.0,0.020833333333333332
base,17,layer_17,128,0.024739583333333332,0.09505208333333333,0.045572916666666664,84.5,0.9802449544270834,0.19154570215934408,0.14583333333333334,123.5,0.0,0.0078125,0.0546875,0.17838541666666666,0.10286458333333333,59.166666666666664,0.9534912109375,0.3401521584893066,0.26171875,101.66666666666667,0.0026041666666666665,0.0234375
base,18,layer_18,128,0.033854166666666664,0.11067708333333333,0.055989583333333336,74.33333333333333,0.9728597005208334,0.23409189664689634,0.16796875,112.33333333333333,0.0,0.018229166666666668,0.05859375,0.18229166666666666,0.12369791666666667,61.833333333333336,0.9394327799479166,0.33864430210265395,0.2955729166666667,94.5,0.0026041666666666665,0.028645833333333332
base,19,layer_19,128,0.02734375,0.09635416666666667,0.048177083333333336,89.66666666666667,0.9747517903645834,0.18387983238226835,0.1484375,111.83333333333333,0.0,0.010416666666666666,0.040364583333333336,0.16015625,0.09505208333333333,63.5,0.9529215494791666,0.3094140175240841,0.2708333333333333,100.16666666666667,0.0,0.013020833333333334
base,20,layer_20,128,0.02734375,0.10286458333333333,0.053385416666666664,85.16666666666667,0.9752604166666666,0.20728317726364762,0.16015625,116.66666666666667,0.0,0.015625,0.055989583333333336,0.17317708333333334,0.10677083333333333,64.83333333333333,0.9535115559895834,0.3338496145693503,0.28125,102.16666666666667,0.005208333333333333,0.026041666666666668
base,21,layer_21,128,0.029947916666666668,0.09635416666666667,0.059895833333333336,78.66666666666667,0.9758504231770834,0.23207544100351443,0.14713541666666666,116.0,0.005208333333333333,0.015625,0.05078125,0.16796875,0.11458333333333333,62.166666666666664,0.9508056640625,0.3340862070750234,0.2877604166666667,92.66666666666667,0.005208333333333333,0.028645833333333332
base,22,layer_22,128,0.037760416666666664,0.10807291666666667,0.06770833333333333,78.33333333333333,0.9724324544270834,0.2322274385360069,0.17317708333333334,116.5,0.0,0.015625,0.06770833333333333,0.20572916666666666,0.12369791666666667,56.5,0.9374796549479166,0.359121287183952,0.3359375,93.83333333333333,0.010416666666666666,0.0390625
base,23,layer_23,128,0.05078125,0.15625,0.08203125,62.833333333333336,0.9605509440104166,0.2928348255280863,0.21744791666666666,108.33333333333333,0.0,0.018229166666666668,0.10026041666666667,0.2565104166666667,0.15104166666666666,49.0,0.91619873046875,0.40424971716543595,0.3893229166666667,81.66666666666667,0.018229166666666668,0.06510416666666667
base,24,layer_24,128,0.046875,0.12890625,0.07421875,83.16666666666667,0.9709879557291666,0.2342392935381088,0.1953125,113.5,0.0,0.015625,0.08333333333333333,0.25,0.14322916666666666,56.666666666666664,0.9330647786458334,0.38770750461620546,0.3671875,95.83333333333333,0.010416666666666666,0.049479166666666664
base,25,layer_25,128,0.048177083333333336,0.16015625,0.0859375,77.5,0.9661661783854166,0.26968598435375835,0.21744791666666666,116.0,0.0,0.010416666666666666,0.1015625,0.2890625,0.17708333333333334,44.5,0.9079996744791666,0.444203143733902,0.3932291666666667,95.16666666666667,0.013020833333333334,0.0625
base,26,layer_26,128,0.0625,0.18619791666666666,0.10546875,71.66666666666667,0.9522298177083334,0.2901767605904812,0.24609375,112.83333333333333,0.0,0.013020833333333334,0.125,0.3346354166666667,0.20833333333333334,36.166666666666664,0.87811279296875,0.4839628568995078,0.41796875,94.0,0.0234375,0.06770833333333333
base,27,layer_27,128,0.06640625,0.203125,0.09375,78.66666666666667,0.96356201171875,0.2529425675901297,0.2565104166666667,120.16666666666667,0.0026041666666666665,0.013020833333333334,0.14192708333333334,0.3776041666666667,0.22135416666666666,53.666666666666664,0.8824869791666666,0.4466422478996565,0.4674479166666667,100.33333333333333,0.028645833333333332,0.078125
base,28,layer_28,128,0.08203125,0.2682291666666667,0.1328125,74.66666666666667,0.94366455078125,0.30827805147309034,0.3346354166666667,117.0,0.005208333333333333,0.028645833333333332,0.18489583333333334,0.4830729166666667,0.2877604166666667,46.5,0.8393961588541666,0.5365547185119157,0.5703125,96.5,0.049479166666666664,0.12760416666666666
base,29,layer_29,128,0.16536458333333334,0.4817708333333333,0.25,46.5,0.8567708333333334,0.49813139993491745,0.53515625,96.83333333333333,0.020833333333333332,0.06770833333333333,0.2721354166666667,0.6744791666666666,0.3919270833333333,31.666666666666668,0.7425130208333334,0.6417563764631717,0.7317708333333334,61.166666666666664,0.078125,0.1953125
base,30,layer_30,128,0.23046875,0.6171875,0.3346354166666667,35.0,0.7939860026041666,0.5979713094877003,0.6731770833333334,73.66666666666667,0.044270833333333336,0.12760416666666666,0.3346354166666667,0.7760416666666666,0.48046875,17.0,0.6771647135416666,0.754829287329606,0.8203125,50.5,0.13802083333333334,0.3020833333333333
base,31,layer_31,128,0.25390625,0.6549479166666666,0.3684895833333333,41.166666666666664,0.7613525390625,0.593547609600317,0.7096354166666666,73.33333333333333,0.049479166666666664,0.13541666666666666,0.3333333333333333,0.796875,0.5,20.333333333333332,0.6561075846354166,0.7575136938741327,0.8346354166666666,51.833333333333336,0.13541666666666666,0.3151041666666667
base,32,layer_32,128,0.2669270833333333,0.6953125,0.3841145833333333,31.166666666666668,0.7533365885416666,0.6366046360265427,0.7630208333333334,62.166666666666664,0.059895833333333336,0.18489583333333334,0.3736979166666667,0.8619791666666666,0.5247395833333334,13.666666666666666,0.6284586588541666,0.799552874576785,0.9127604166666666,41.666666666666664,0.1796875,0.3515625
scrambled,0,embedding,128,0.0078125,0.0390625,0.0078125,128.0,0.9921875,0.0,0.0390625,128.0,0.0078125,0.0078125,0.0078125,0.0390625,0.0078125,128.0,0.9921875,0.0,0.0390625,128.0,0.0078125,0.0078125
scrambled,1,layer_1,128,0.02734375,0.08333333333333333,0.037760416666666664,92.0,0.98468017578125,0.1576405532352562,0.11197916666666667,127.16666666666667,0.0,0.010416666666666666,0.0390625,0.13541666666666666,0.06640625,77.83333333333333,0.9778035481770834,0.23707482003439465,0.19661458333333334,122.16666666666667,0.0078125,0.020833333333333332
scrambled,2,layer_2,128,0.05078125,0.12109375,0.06640625,78.33333333333333,0.9758504231770834,0.23821359434981967,0.15494791666666666,123.5,0.0,0.013020833333333334,0.10546875,0.22786458333333334,0.13802083333333334,60.5,0.9502156575520834,0.3728327847595272,0.2747395833333333,106.5,0.013020833333333334,0.041666666666666664
scrambled,3,layer_3,128,0.078125,0.19791666666666666,0.09244791666666667,78.0,0.9673258463541666,0.24886619276551056,0.22786458333333334,124.16666666666667,0.0,0.013020833333333334,0.1484375,0.3528645833333333,0.1953125,55.666666666666664,0.9232177734375,0.40503662807925017,0.4153645833333333,108.5,0.020833333333333332,0.052083333333333336
scrambled,4,layer_4,128,0.12630208333333334,0.3046875,0.15885416666666666,71.16666666666667,0.9442342122395834,0.3157042726562795,0.34765625,125.16666666666667,0.005208333333333333,0.020833333333333332,0.23697916666666666,0.5234375,0.3020833333333333,44.166666666666664,0.8435262044270834,0.5238783211461622,0.5807291666666666,100.83333333333333,0.0546875,0.1015625
scrambled,5,layer_5,128,0.13671875,0.2708333333333333,0.15494791666666666,78.0,0.9419352213541666,0.2932574470114929,0.3046875,123.0,0.0078125,0.026041666666666668,0.23046875,0.4895833333333333,0.2942708333333333,50.166666666666664,0.8505859375,0.5030120883880326,0.5364583333333334,107.83333333333333,0.0625,0.10416666666666667
scrambled,6,layer_6,128,0.12239583333333333,0.26171875,0.13932291666666666,64.83333333333333,0.9425862630208334,0.32306076647550686,0.2864583333333333,123.33333333333333,0.005208333333333333,0.018229166666666668,0.21744791666666666,0.4388020833333333,0.2708333333333333,41.166666666666664,0.86126708984375,0.4987432183370138,0.484375,105.33333333333333,0.0546875,0.09635416666666667
scrambled,7,layer_7,128,0.12239583333333333,0.28515625,0.13671875,76.5,0.9433186848958334,0.2880874340637742,0.3059895833333333,122.16666666666667,0.0078125,0.018229166666666668,0.23307291666666666,0.46484375,0.2708333333333333,52.833333333333336,0.8629150390625,0.4850835592363616,0.5052083333333334,107.16666666666667,0.0625,0.10416666666666667
scrambled,8,layer_8,128,0.1171875,0.26953125,0.13020833333333334,75.83333333333333,0.9462076822916666,0.29472525310289693,0.296875,119.33333333333333,0.0026041666666666665,0.013020833333333334,0.20572916666666666,0.4192708333333333,0.24479166666666666,52.333333333333336,0.8758544921875,0.469144050747595,0.484375,103.66666666666667,0.018229166666666668,0.0703125
scrambled,9,layer_9,128,0.11328125,0.2552083333333333,0.14713541666666666,61.666666666666664,0.9421793619791666,0.38426425501024597,0.3138020833333333,107.66666666666667,0.005208333333333333,0.0234375,0.19401041666666666,0.4700520833333333,0.296875,34.0,0.8528849283854166,0.5755076408585588,0.56640625,81.5,0.0390625,0.13802083333333334
scrambled,10,layer_10,128,0.09765625,0.22786458333333334,0.12760416666666666,52.333333333333336,0.9421590169270834,0.38360988162317544,0.27734375,113.33333333333333,0.0026041666666666665,0.015625,0.19401041666666666,0.4244791666666667,0.2760416666666667,36.0,0.8650309244791666,0.5616786693266222,0.51171875,89.66666666666667,0.036458333333333336,0.10677083333333333
scrambled,11,layer_11,128,0.08854166666666667,0.19921875,0.10677083333333333,59.166666666666664,0.9546101888020834,0.34467976361281344,0.2421875,121.33333333333333,0.005208333333333333,0.015625,0.171875,0.3932291666666667,0.24869791666666666,39.833333333333336,0.8841959635416666,0.5295636742085242,0.4778645833333333,99.0,0.0390625,0.09895833333333333
scrambled,12,layer_12,128,0.06380208333333333,0.20572916666666666,0.1015625,88.66666666666667,0.96673583984375,0.23922391589881697,0.26171875,122.83333333333333,0.0026041666666666665,0.013020833333333334,0.14453125,0.3645833333333333,0.23307291666666666,56.5,0.8988444010416666,0.4723153797147767,0.47265625,100.5,0.0390625,0.10416666666666667
scrambled,13,layer_13,128,0.07291666666666667,0.17838541666666666,0.11197916666666667,57.833333333333336,0.96026611328125,0.35286649840407636,0.22395833333333334,120.0,0.0078125,0.0234375,0.14713541666666666,0.3216145833333333,0.23828125,32.333333333333336,0.89361572265625,0.5423548674336522,0.4440104166666667,93.16666666666667,0.0390625,0.09375
scrambled,14,layer_14,128,0.06380208333333333,0.140625,0.07942708333333333,69.0,0.9610188802083334,0.26694712810075394,0.17447916666666666,117.0,0.0,0.010416666666666666,0.10026041666666667,0.23307291666666666,0.13541666666666666,57.333333333333336,0.936279296875,0.36167870866079177,0.2994791666666667,105.33333333333333,0.0078125,0.0390625
scrambled,15,layer_15,128,0.057291666666666664,0.20052083333333334,0.12109375,77.5,0.9644775390625,0.27838812311400263,0.3098958333333333,119.0,0.0078125,0.03125,0.13541666666666666,0.3255208333333333,0.24609375,51.333333333333336,0.9036865234375,0.4900900332629783,0.5234375,96.33333333333333,0.06770833333333333,0.15364583333333334
scrambled,16,layer_16,128,0.21354166666666666,0.4440104166666667,0.3723958333333333,37.5,0.7965087890625,0.6141172046912348,0.6627604166666666,92.33333333333333,0.10416666666666667,0.21354166666666666,0.29296875,0.54296875,0.5052083333333334,19.333333333333332,0.6653645833333334,0.7680854109240233,0.8307291666666666,56.666666666666664,0.19791666666666666,0.4010416666666667
scrambled,17,layer_17,128,0.13541666666666666,0.3294270833333333,0.24739583333333334,50.833333333333336,0.8658650716145834,0.4845389838443213,0.5221354166666666,82.66666666666667,0.07291666666666667,0.15625,0.16536458333333334,0.43359375,0.359375,34.0,0.791259765625,0.6212339171974933,0.71484375,67.33333333333333,0.09635416666666667,0.2604166666666667
scrambled,18,layer_18,128,0.12760416666666666,0.3111979166666667,0.2265625,52.833333333333336,0.871826171875,0.44861220002545954,0.45703125,83.66666666666667,0.059895833333333336,0.13020833333333334,0.17578125,0.4036458333333333,0.3177083333333333,40.833333333333336,0.8142496744791666,0.5629244792666627,0.6002604166666666,72.5,0.11197916666666667,0.2421875
scrambled,19,layer_19,128,0.14322916666666666,0.3424479166666667,0.2565104166666667,39.0,0.855712890625,0.5131405672931504,0.5494791666666666,74.66666666666667,0.06770833333333333,0.16927083333333334,0.18098958333333334,0.4544270833333333,0.3658854166666667,31.333333333333332,0.7845662434895834,0.62362304056861,0.7174479166666666,62.0,0.10416666666666667,0.2864583333333333
scrambled,20,layer_20,128,0.13932291666666666,0.3541666666666667,0.2708333333333333,46.333333333333336,0.8579915364583334,0.5102825119195761,0.57421875,75.33333333333333,0.059895833333333336,0.171875,0.17317708333333334,0.46484375,0.3984375,29.666666666666668,0.77130126953125,0.6635225304793894,0.7591145833333334,63.0,0.10416666666666667,0.3072916666666667
scrambled,21,layer_21,128,0.16276041666666666,0.3854166666666667,0.30078125,37.333333333333336,0.8467000325520834,0.5651886705041576,0.6145833333333334,73.5,0.07552083333333333,0.1953125,0.19791666666666666,0.4830729166666667,0.4348958333333333,21.833333333333332,0.7407430013020834,0.707568450090971,0.76953125,52.5,0.1171875,0.3255208333333333
scrambled,22,layer_22,128,0.20703125,0.4869791666666667,0.4140625,24.5,0.7693074544270834,0.6907208438172375,0.7682291666666666,67.83333333333333,0.1171875,0.2994791666666667,0.2526041666666667,0.5794270833333334,0.5403645833333334,13.666666666666666,0.6410319010416666,0.7988565011591972,0.8958333333333334,43.166666666666664,0.16145833333333334,0.4609375
scrambled,23,layer_23,128,0.20052083333333334,0.4713541666666667,0.4205729166666667,28.666666666666668,0.7542317708333334,0.6810965286611325,0.7877604166666666,76.5,0.08333333333333333,0.25,0.24479166666666666,0.58984375,0.57421875,15.166666666666666,0.6067301432291666,0.8249818842720728,0.9348958333333334,46.666666666666664,0.15104166666666666,0.4765625
scrambled,24,layer_24,128,0.23046875,0.546875,0.4973958333333333,13.666666666666666,0.6844278971354166,0.7833853704439152,0.8645833333333334,73.5,0.12239583333333333,0.3802083333333333,0.2734375,0.6484375,0.6080729166666666,9.166666666666666,0.5567220052083334,0.8580330788219985,0.96484375,34.333333333333336,0.18229166666666666,0.5286458333333334
scrambled,25,layer_25,128,0.24739583333333334,0.578125,0.5208333333333334,13.166666666666666,0.66107177734375,0.7958541814299253,0.91015625,72.66666666666667,0.14322916666666666,0.40625,0.2955729166666667,0.6575520833333334,0.6158854166666666,9.166666666666666,0.5476888020833334,0.8599928106534764,0.9635416666666666,36.5,0.1875,0.5260416666666666
scrambled,26,layer_26,128,0.2421875,0.5807291666666666,0.5559895833333334,16.333333333333332,0.6314697265625,0.8055165918377393,0.9127604166666666,73.16666666666667,0.140625,0.4609375,0.2864583333333333,0.6666666666666666,0.6263020833333334,9.166666666666666,0.5407307942708334,0.8651074209156632,0.9739583333333334,35.5,0.1953125,0.546875
scrambled,27,layer_27,128,0.24739583333333334,0.6341145833333334,0.55859375,18.166666666666668,0.6223347981770834,0.8082263391642277,0.9453125,70.0,0.13802083333333334,0.4583333333333333,0.2864583333333333,0.6940104166666666,0.6276041666666666,9.833333333333334,0.5360921223958334,0.8672442714439487,0.9778645833333334,46.0,0.1875,0.5546875
scrambled,28,layer_28,128,0.26171875,0.6575520833333334,0.5651041666666666,13.0,0.61285400390625,0.827353110992366,0.9557291666666666,61.166666666666664,0.14322916666666666,0.4635416666666667,0.2890625,0.6979166666666666,0.6302083333333334,7.833333333333333,0.5336710611979166,0.870310125261307,0.984375,42.0,0.1796875,0.546875
scrambled,29,layer_29,128,0.2682291666666667,0.6432291666666666,0.5625,14.666666666666666,0.6217041015625,0.8195819552711262,0.953125,61.166666666666664,0.15364583333333334,0.4609375,0.2994791666666667,0.6966145833333334,0.6158854166666666,8.333333333333334,0.5493570963541666,0.8641624215415192,0.98046875,42.5,0.18489583333333334,0.5338541666666666
scrambled,30,layer_30,128,0.25390625,0.62109375,0.53515625,17.0,0.6504109700520834,0.7975028612173166,0.9427083333333334,55.333333333333336,0.13802083333333334,0.4270833333333333,0.29296875,0.6875,0.609375,8.166666666666666,0.5531209309895834,0.8643314703157347,0.9817708333333334,42.5,0.18489583333333334,0.5260416666666666
scrambled,31,layer_31,128,0.24609375,0.6328125,0.54296875,11.0,0.6295166015625,0.8229236247968904,0.95703125,45.333333333333336,0.13020833333333334,0.4166666666666667,0.2838541666666667,0.6809895833333334,0.6145833333333334,6.0,0.5397542317708334,0.8724974179589434,0.9895833333333334,34.166666666666664,0.18489583333333334,0.5260416666666666
scrambled,32,layer_32,128,0.1640625,0.4544270833333333,0.4088541666666667,23.166666666666668,0.7421468098958334,0.6888608913419726,0.7760416666666666,65.16666666666667,0.033854166666666664,0.2265625,0.22786458333333334,0.5638020833333334,0.5260416666666666,9.5,0.6435750325520834,0.8146164090327446,0.9127604166666666,41.333333333333336,0.11197916666666667,0.4088541666666667
lowLR,0,embedding,128,0.0078125,0.0390625,0.0078125,128.0,0.9921875,0.0,0.0390625,128.0,0.0078125,0.0078125,0.0078125,0.0390625,0.0078125,128.0,0.9921875,0.0,0.0390625,128.0,0.0078125,0.0078125
lowLR,1,layer_1,128,0.02734375,0.09895833333333333,0.04296875,90.0,0.98321533203125,0.16156440561518207,0.12890625,126.5,0.0,0.010416666666666666,0.0625,0.171875,0.08984375,81.5,0.9669596354166666,0.24483761465602472,0.22786458333333334,122.0,0.005208333333333333,0.026041666666666668
lowLR,2,layer_2,128,0.018229166666666668,0.09505208333333333,0.03515625,106.16666666666667,0.9873860677083334,0.10083269625181183,0.12369791666666667,126.33333333333333,0.0,0.010416666666666666,0.04296875,0.16796875,0.08854166666666667,97.0,0.9730224609375,0.1915447037258866,0.22786458333333334,124.5,0.0026041666666666665,0.0234375
lowLR,3,layer_3,128,0.032552083333333336,0.109375,0.04296875,103.5,0.9837443033854166,0.12260805341636438,0.1328125,123.16666666666667,0.0,0.013020833333333334,0.05078125,0.18489583333333334,0.08203125,99.0,0.97320556640625,0.17658641215352797,0.23567708333333334,115.66666666666667,0.0078125,0.0234375
lowLR,4,layer_4,128,0.0546875,0.16927083333333334,0.06510416666666667,86.0,0.9768880208333334,0.20195211847609773,0.18489583333333334,123.83333333333333,0.0026041666666666665,0.015625,0.1328125,0.3580729166666667,0.16015625,63.666666666666664,0.9298095703125,0.36043470214514306,0.4049479166666667,104.0,0.033854166666666664,0.059895833333333336
lowLR,5,layer_5,128,0.0546875,0.18098958333333334,0.05859375,95.5,0.9798177083333334,0.1570504254932021,0.19921875,127.66666666666667,0.010416666666666666,0.018229166666666668,0.13802083333333334,0.3919270833333333,0.15494791666666666,71.5,0.92205810546875,0.3296324048612472,0.421875,110.66666666666667,0.013020833333333334,0.028645833333333332
lowLR,6,layer_6,128,0.018229166666666668,0.09375,0.01953125,102.16666666666667,0.9885457356770834,0.08626292269317676,0.10677083333333333,128.0,0.0,0.010416666666666666,0.04296875,0.19661458333333334,0.046875,86.33333333333333,0.982177734375,0.18120311285809645,0.21484375,122.5,0.0,0.018229166666666668
lowLR,7,layer_7,128,0.08854166666666667,0.2942708333333333,0.10807291666666667,64.0,0.9574991861979166,0.33527517710609106,0.3125,95.33333333333333,0.005208333333333333,0.020833333333333332,0.1953125,0.5546875,0.2109375,34.5,0.8966878255208334,0.5178666463739502,0.5768229166666666,56.333333333333336,0.03125,0.078125
lowLR,8,layer_8,128,0.045572916666666664,0.23177083333333334,0.05859375,65.66666666666667,0.9751790364583334,0.25223730738412975,0.24739583333333334,100.83333333333333,0.0026041666666666665,0.0234375,0.11197916666666667,0.484375,0.13802083333333334,41.5,0.9438883463541666,0.42108109166355373,0.5260416666666666,62.333333333333336,0.028645833333333332,0.0625
lowLR,9,layer_9,128,0.05078125,0.24609375,0.06510416666666667,70.66666666666667,0.966552734375,0.27485411727516207,0.26171875,99.0,0.0026041666666666665,0.026041666666666668,0.10677083333333333,0.4869791666666667,0.13932291666666666,45.666666666666664,0.9370524088541666,0.4243529848311085,0.5143229166666666,64.83333333333333,0.013020833333333334,0.059895833333333336
