arm,concept_index,concept,mid_layer_start,mid_layer_end,top1_count,top1_share,top5_count,top5_share,csls_top1_count,csls_top1_share,csls_top5_count,csls_top5_share
base,42,bottle,10,20,2,0.00023674242424242425,53,0.0012547348484848485,7,0.0008285984848484849,64,0.0015151515151515152
base,107,gun,10,20,2,0.00023674242424242425,61,0.0014441287878787879,17,0.002012310606060606,90,0.002130681818181818
base,7,anvil,10,20,1,0.00011837121212121212,551,0.013044507575757576,11,0.0013020833333333333,560,0.013257575757575758
base,9,artichoke,10,20,1,0.00011837121212121212,59,0.0013967803030303031,7,0.0008285984848484849,156,0.003693181818181818
base,19,basket,10,20,1,0.00011837121212121212,246,0.005823863636363637,10,0.0011837121212121212,181,0.004285037878787879
base,26,bed,10,20,1,0.00011837121212121212,2,4.734848484848485e-05,7,0.0008285984848484849,9,0.0002130681818181818
base,48,bucket,10,20,1,0.00011837121212121212,280,0.006628787878787879,8,0.000946969696969697,294,0.0069602272727272724
base,58,candelabra,10,20,1,0.00011837121212121212,116,0.002746212121212121,6,0.0007102272727272727,119,0.0028172348484848484
base,63,carriage,10,20,1,0.00011837121212121212,294,0.0069602272727272724,21,0.0024857954545454545,290,0.006865530303030303
base,65,cart,10,20,1,0.00011837121212121212,344,0.008143939393939394,36,0.004261363636363636,430,0.010179924242424242
base,95,eagle,10,20,1,0.00011837121212121212,101,0.0023910984848484846,4,0.0004734848484848485,68,0.0016098484848484848
base,0,accordion,10,20,0,0.0,617,0.014607007575757575,0,0.0,606,0.01434659090909091
base,5,anteater,10,20,0,0.0,1,2.3674242424242424e-05,0,0.0,24,0.0005681818181818182
base,12,axe,10,20,0,0.0,380,0.008996212121212122,2,0.00023674242424242425,432,0.010227272727272727
base,18,barrel,10,20,0,0.0,16,0.0003787878787878788,1,0.00011837121212121212,23,0.0005445075757575758
base,25,beaver,10,20,0,0.0,3,7.102272727272727e-05,0,0.0,18,0.0004261363636363636
base,27,bee,10,20,0,0.0,33,0.00078125,5,0.0005918560606060606,62,0.0014678030303030302
base,29,beetle,10,20,0,0.0,0,0.0,1,0.00011837121212121212,12,0.0002840909090909091
base,32,bench,10,20,0,0.0,13,0.0003077651515151515,2,0.00023674242424242425,27,0.0006392045454545455
base,33,bird,10,20,0,0.0,0,0.0,0,0.0,16,0.0003787878787878788
base,44,bread,10,20,0,0.0,234,0.005539772727272727,5,0.0005918560606060606,214,0.0050662878787878785
base,49,burner,10,20,0,0.0,62,0.0014678030303030302,9,0.001065340909090909,149,0.0035274621212121214
base,52,butterfly,10,20,0,0.0,0,0.0,1,0.00011837121212121212,7,0.00016571969696969698
base,54,cactus,10,20,0,0.0,0,0.0,0,0.0,9,0.0002130681818181818
base,55,cake,10,20,0,0.0,5,0.00011837121212121212,0,0.0,21,0.0004971590909090909
base,57,can opener,10,20,0,0.0,207,0.004900568181818182,5,0.0005918560606060606,169,0.0040009469696969694
base,59,candle,10,20,0,0.0,119,0.0028172348484848484,1,0.00011837121212121212,77,0.0018229166666666667
base,62,car,10,20,0,0.0,105,0.0024857954545454545,14,0.0016571969696969697,111,0.002627840909090909
base,66,cat,10,20,0,0.0,51,0.0012073863636363636,2,0.00023674242424242425,142,0.003361742424242424
base,67,caterpillar,10,20,0,0.0,309,0.007315340909090909,4,0.0004734848484848485,307,0.007267992424242424
base,68,cauliflower,10,20,0,0.0,251,0.005942234848484849,11,0.0013020833333333333,251,0.005942234848484849
base,72,cheetah,10,20,0,0.0,98,0.0023200757575757578,10,0.0011837121212121212,153,0.003622159090909091
base,73,cherry,10,20,0,0.0,20,0.0004734848484848485,11,0.0013020833333333333,51,0.0012073863636363636
base,74,chicken,10,20,0,0.0,284,0.006723484848484848,5,0.0005918560606060606,287,0.006794507575757576
base,78,chocolate,10,20,0,0.0,72,0.0017045454545454545,4,0.0004734848484848485,141,0.0033380681818181816
base,79,clarinet,10,20,0,0.0,4,9.46969696969697e-05,0,0.0,17,0.0004024621212121212
base,84,corn,10,20,0,0.0,432,0.010227272727272727,5,0.0005918560606060606,455,0.010771780303030304
base,87,crow,10,20,0,0.0,28,0.0006628787878787879,5,0.0005918560606060606,55,0.0013020833333333333
base,89,dagger,10,20,0,0.0,158,0.003740530303030303,2,0.00023674242424242425,214,0.0050662878787878785
base,90,dragonfly,10,20,0,0.0,45,0.001065340909090909,0,0.0,43,0.0010179924242424243
base,91,dress,10,20,0,0.0,25,0.0005918560606060606,5,0.0005918560606060606,90,0.002130681818181818
base,94,duck,10,20,0,0.0,212,0.005018939393939394,14,0.0016571969696969697,291,0.006889204545454546
base,98,fern,10,20,0,0.0,224,0.005303030303030303,0,0.0,207,0.004900568181818182
base,101,flute,10,20,0,0.0,7,0.00016571969696969698,0,0.0,28,0.0006628787878787879
base,105,grasshopper,10,20,0,0.0,121,0.002864583333333333,16,0.001893939393939394,164,0.0038825757575757574
base,112,motorcycle,10,20,0,0.0,22,0.0005208333333333333,3,0.0003551136363636364,53,0.0012547348484848485
base,113,ostrich,10,20,0,0.0,0,0.0,0,0.0,30,0.0007102272727272727
base,114,owl,10,20,0,0.0,108,0.002556818181818182,7,0.0008285984848484849,90,0.002130681818181818
base,116,parrot,10,20,0,0.0,133,0.0031486742424242423,28,0.0033143939393939395,190,0.004498106060606061
base,119,penguin,10,20,0,0.0,9,0.0002130681818181818,0,0.0,41,0.0009706439393939394
base,120,rifle,10,20,0,0.0,0,0.0,0,0.0,10,0.00023674242424242425
base,121,scooter,10,20,0,0.0,2,4.734848484848485e-05,1,0.00011837121212121212,14,0.00033143939393939396
base,124,slingshot,10,20,0,0.0,31,0.0007339015151515151,0,0.0,59,0.0013967803030303031
base,126,tree,10,20,0,0.0,0,0.0,0,0.0,1,2.3674242424242424e-05
scrambled,117,peacock,10,20,662,0.07836174242424243,1358,0.03214962121212121,518,0.06131628787878788,1072,0.02537878787878788
scrambled,19,basket,10,20,424,0.050189393939393936,829,0.01962594696969697,312,0.036931818181818184,762,0.018039772727272727
scrambled,47,brussels sprouts,10,20,413,0.04888731060606061,897,0.021235795454545455,241,0.02852746212121212,749,0.017732007575757575
scrambled,118,pelican,10,20,347,0.04107481060606061,757,0.017921401515151515,297,0.03515625,735,0.01740056818181818
scrambled,56,camel,10,20,271,0.03207859848484849,1007,0.023839962121212123,118,0.01396780303030303,742,0.01756628787878788
scrambled,87,crow,10,20,271,0.03207859848484849,1292,0.03058712121212121,200,0.023674242424242424,1103,0.026112689393939393
