subject,region,n_concepts,n_voxels,arm,layer,layer_name,rsa_spearman,selection
01,TE2a,90,814,taskvec_a1p0,24,layer_24,0.03704111879489263,best_mean_subjects
01,TE2p,90,584,base,30,layer_30,0.0775925729652443,best_mean_subjects
01,TE2p,90,584,scrambled,28,layer_28,0.07088638333007735,best_mean_subjects
01,TE2p,90,584,lowLR,30,layer_30,0.07777890666423036,best_mean_subjects
01,TE2p,90,584,lowrank,30,layer_30,0.0748745998775449,best_mean_subjects
01,TE2p,90,584,taskvec_a0p25,6,layer_6,0.07958673382279546,best_mean_subjects
01,TE2p,90,584,taskvec_a0p5,6,layer_6,0.08474763936066365,best_mean_subjects
01,TE2p,90,584,taskvec_a1p0,6,layer_6,0.08268729854665559,best_mean_subjects
01,TF,90,859,base,30,layer_30,0.08697785112264518,best_mean_subjects
01,TF,90,859,scrambled,6,layer_6,0.07109941522480019,best_mean_subjects
01,TF,90,859,lowLR,30,layer_30,0.09408341158188298,best_mean_subjects
01,TF,90,859,lowrank,30,layer_30,0.0907944210142598,best_mean_subjects
01,TF,90,859,taskvec_a0p25,30,layer_30,0.08263013274540927,best_mean_subjects
01,TF,90,859,taskvec_a0p5,6,layer_6,0.08089133534336516,best_mean_subjects
01,TF,90,859,taskvec_a1p0,6,layer_6,0.07421232397644184,best_mean_subjects
01,PeEc,90,860,base,31,layer_31,0.038860945337746984,best_mean_subjects
01,PeEc,90,860,scrambled,1,layer_1,0.03415670456906356,best_mean_subjects
01,PeEc,90,860,lowLR,31,layer_31,0.035257571350061835,best_mean_subjects
01,PeEc,90,860,lowrank,12,layer_12,0.04241958049056391,best_mean_subjects
01,PeEc,90,860,taskvec_a0p25,31,layer_31,0.036837962757510403,best_mean_subjects
01,PeEc,90,860,taskvec_a0p5,3,layer_3,0.034610447994304794,best_mean_subjects
01,PeEc,90,860,taskvec_a1p0,3,layer_3,0.038410568397610305,best_mean_subjects
01,EC,90,396,base,30,layer_30,0.0037308509841283716,best_mean_subjects
01,EC,90,396,scrambled,2,layer_2,0.013522831438654336,best_mean_subjects
01,EC,90,396,lowLR,17,layer_17,-0.0058176699450743444,best_mean_subjects
01,EC,90,396,lowrank,30,layer_30,-0.008416657902541437,best_mean_subjects
01,EC,90,396,taskvec_a0p25,30,layer_30,-0.00472024007226821,best_mean_subjects
01,EC,90,396,taskvec_a0p5,30,layer_30,-0.01082910705611486,best_mean_subjects
01,EC,90,396,taskvec_a1p0,2,layer_2,0.006065527270798017,best_mean_subjects
02,Early Visual,90,7321,base,30,layer_30,0.07518769158500574,best_mean_subjects
02,Early Visual,90,7321,scrambled,6,layer_6,0.04109144290164894,best_mean_subjects
02,Early Visual,90,7321,lowLR,30,layer_30,0.08096900845979475,best_mean_subjects
02,Early Visual,90,7321,lowrank,7,layer_7,0.07546217574938538,best_mean_subjects
02,Early Visual,90,7321,taskvec_a0p25,30,layer_30,0.07327264929176669,best_mean_subjects
02,Early Visual,90,7321,taskvec_a0p5,7,layer_7,0.06934237021073059,best_mean_subjects
02,Early Visual,90,7321,taskvec_a1p0,9,layer_9,0.07446990361102339,best_mean_subjects
02,Ventral Visual,90,4635,base,31,layer_31,0.21571579218928422,best_mean_subjects
02,Ventral Visual,90,4635,scrambled,7,layer_7,0.1317014247287377,best_mean_subjects
02,Ventral Visual,90,4635,lowLR,6,layer_6,0.21455165614825006,best_mean_subjects
02,Ventral Visual,90,4635,lowrank,6,layer_6,0.2177186845757024,best_mean_subjects
02,Ventral Visual,90,4635,taskvec_a0p25,6,layer_6,0.2096311359904734,best_mean_subjects
02,Ventral Visual,90,4635,taskvec_a0p5,6,layer_6,0.21232542095573392,best_mean_subjects
02,Ventral Visual,90,4635,taskvec_a1p0,7,layer_7,0.20564582939223228,best_mean_subjects
02,Dorsal Visual,90,1879,base,26,layer_26,0.08326578460983595,best_mean_subjects
02,Dorsal Visual,90,1879,scrambled,29,layer_29,0.056129412499351966,best_mean_subjects
02,Dorsal Visual,90,1879,lowLR,30,layer_30,0.08736372705250849,best_mean_subjects
02,Dorsal Visual,90,1879,lowrank,30,layer_30,0.09377316649890935,best_mean_subjects
02,Dorsal Visual,90,1879,taskvec_a0p25,26,layer_26,0.08074290215460483,best_mean_subjects
