analysis,target,hub_metric,n,spearman_r,spearman_p,pearson_r,pearson_p,region
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_concept_minus_format_alignment,6,-0.8285714285714287,0.04156268221574334,-0.3930362175315924,0.44080329361819326,Dorsal Visual
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,mid_cross_format_rdm_spearman,6,0.7142857142857143,0.1107871720116617,0.9077376806222117,0.012375819453626898,Dorsal Visual
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,mid_linear_cka,6,0.7142857142857143,0.1107871720116617,0.8299789210083558,0.04090333706462927,Dorsal Visual
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,mid_retrieval_top1,6,-0.028571428571428574,0.9571545189504373,0.02170132708465723,0.9674531194669377,Dorsal Visual
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,mid_retrieval_top5,6,0.48571428571428577,0.3287230320699709,0.4106375224821699,0.4186652176576529,Dorsal Visual
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,mid_concept_minus_format_alignment,6,-0.8285714285714287,0.04156268221574334,-0.4388159192855245,0.38402518855327233,Dorsal Visual
arm_summary_raw,mean_rsa_spearman,best_cross_format_rdm_spearman,7,-0.7142857142857144,0.07134356146753759,-0.6669702816371582,0.10172616163586137,EC
arm_summary_raw,mean_rsa_spearman,best_linear_cka,7,-0.8571428571428573,0.01369732661532562,-0.9092884421775526,0.004530774332035813,EC
arm_summary_raw,mean_rsa_spearman,best_retrieval_top1,7,-0.07142857142857144,0.8790481931481541,-0.1130097673217243,0.8093713965838855,EC
arm_summary_raw,mean_rsa_spearman,best_retrieval_top5,7,-0.21428571428571433,0.6445115810207203,-0.2732179473973174,0.5532871713125919,EC
arm_summary_raw,mean_rsa_spearman,best_concept_minus_format_alignment,7,0.21428571428571433,0.6445115810207203,0.08925878096740528,0.8490724963237272,EC
arm_summary_raw,mean_rsa_spearman,mid_cross_format_rdm_spearman,7,-0.642857142857143,0.11939237342741094,-0.743259951018938,0.05554998591071256,EC
arm_summary_raw,mean_rsa_spearman,mid_linear_cka,7,-0.642857142857143,0.11939237342741094,-0.6762951548412712,0.09528830399298259,EC
arm_summary_raw,mean_rsa_spearman,mid_retrieval_top1,7,-0.3214285714285715,0.4820720382996776,-0.14715360007846104,0.7528802588176531,EC
arm_summary_raw,mean_rsa_spearman,mid_retrieval_top5,7,-0.642857142857143,0.11939237342741094,-0.3838841946118031,0.3952367093457761,EC
arm_summary_raw,mean_rsa_spearman,mid_concept_minus_format_alignment,7,-0.07142857142857144,0.8790481931481541,0.012260473774478767,0.9791875376096886,EC
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_cross_format_rdm_spearman,6,-0.6,0.20799999999999982,-0.804580328273595,0.05355184606705708,EC
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_linear_cka,6,-0.7714285714285715,0.07239650145772594,-0.9580493782293708,0.0026028685016614866,EC
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_retrieval_top1,6,0.2571428571428572,0.6227871720116618,-0.0498012493150531,0.925359883671064,EC
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_retrieval_top5,6,0.08571428571428573,0.8717434402332361,-0.24293152348806432,0.6427711047725656,EC
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_concept_minus_format_alignment,6,0.2571428571428572,0.6227871720116618,0.07649528406571918,0.8854808810682336,EC
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,mid_cross_format_rdm_spearman,6,-0.48571428571428577,0.3287230320699709,-0.8521139271064813,0.031188280142127007,EC
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,mid_linear_cka,6,-0.48571428571428577,0.3287230320699709,-0.7917323041268418,0.06054629895723819,EC
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,mid_retrieval_top1,6,-0.14285714285714288,0.7871720116618075,-0.08529213145897287,0.8723720421796431,EC
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,mid_retrieval_top5,6,-0.5428571428571429,0.26570262390670557,-0.39893996852232033,0.4333363132663556,EC
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,mid_concept_minus_format_alignment,6,0.2571428571428572,0.6227871720116618,0.11196238478391225,0.8327581792939032,EC
arm_summary_raw,mean_rsa_spearman,best_cross_format_rdm_spearman,7,0.39285714285714296,0.38331687042697266,0.4445870602396791,0.31757021539722435,Early Visual
arm_summary_raw,mean_rsa_spearman,best_linear_cka,7,0.5357142857142858,0.21521745567801273,0.7028600045718681,0.07815874268199086,Early Visual
arm_summary_raw,mean_rsa_spearman,best_retrieval_top1,7,-0.8214285714285715,0.023448808345691505,-0.35949573528105966,0.42836100845952635,Early Visual
arm_summary_raw,mean_rsa_spearman,best_retrieval_top5,7,-0.6785714285714287,0.0937502539598313,-0.19831028533899486,0.6699187150997518,Early Visual
arm_summary_raw,mean_rsa_spearman,best_concept_minus_format_alignment,7,-0.5357142857142858,0.21521745567801273,-0.2746615557126099,0.5511070510980626,Early Visual
arm_summary_raw,mean_rsa_spearman,mid_cross_format_rdm_spearman,7,0.10714285714285716,0.8191508555699912,0.5029771345348759,0.24989702063046856,Early Visual
arm_summary_raw,mean_rsa_spearman,mid_linear_cka,7,0.10714285714285716,0.8191508555699912,0.4096307317380194,0.36143393171928695,Early Visual
arm_summary_raw,mean_rsa_spearman,mid_retrieval_top1,7,-0.3571428571428572,0.4316113520383278,-0.13398286618204494,0.7745796939191064,Early Visual
arm_summary_raw,mean_rsa_spearman,mid_retrieval_top5,7,0.0,1.0,0.10532389676900883,0.8221866911647165,Early Visual
arm_summary_raw,mean_rsa_spearman,mid_concept_minus_format_alignment,7,-0.7857142857142859,0.03623846267982713,-0.4532876730152248,0.307031911655808,Early Visual
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_cross_format_rdm_spearman,6,0.942857142857143,0.004804664723032055,0.9452710228472297,0.004410927626501576,Early Visual
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_linear_cka,6,0.8285714285714287,0.04156268221574334,0.9773244581053994,0.0007654406429850295,Early Visual
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_retrieval_top1,6,-0.7714285714285715,0.07239650145772594,-0.24762843027641818,0.6361496223831338,Early Visual
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_retrieval_top5,6,-0.5428571428571429,0.26570262390670557,-0.0344774061911321,0.9483043822137919,Early Visual
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,best_concept_minus_format_alignment,6,-0.7714285714285715,0.07239650145772594,-0.32203669317924744,0.5336437916248551,Early Visual
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,mid_cross_format_rdm_spearman,6,0.6,0.20799999999999982,0.9218810307928323,0.008915496655179446,Early Visual
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,mid_linear_cka,6,0.6,0.20799999999999982,0.8469974431290703,0.033323795331375326,Early Visual
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,mid_retrieval_top1,6,-0.08571428571428573,0.8717434402332361,0.058137062999935527,0.9128926547556868,Early Visual
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,mid_retrieval_top5,6,0.4285714285714286,0.3965014577259474,0.4237081053883611,0.4024716946252376,Early Visual
arm_summary_delta_vs_base,mean_rsa_delta_vs_base,mid_concept_minus_format_alignment,6,-0.7714285714285715,0.07239650145772594,-0.3604981670829509,0.48267772713035356,Early Visual
arm_summary_raw,mean_rsa_spearman,best_cross_format_rdm_spearman,7,0.8571428571428573,0.01369732661532562,0.7434191444453376,0.05546909766948496,Language
arm_summary_raw,mean_rsa_spearman,best_linear_cka,7,0.9642857142857145,0.0004541491691941689,0.924693470019378,0.002869365734158873,Language
arm_summary_raw,mean_rsa_spearman,best_retrieval_top1,7,0.07142857142857144,0.8790481931481541,0.10829266277025065,0.8172327599004817,Language
arm_summary_raw,mean_rsa_spearman,best_retrieval_top5,7,0.28571428571428575,0.5345092286010406,0.3112717846693928,0.49679202342500484,Language
arm_summary_raw,mean_rsa_spearman,best_concept_minus_format_alignment,7,-0.42857142857142866,0.337368311085824,-0.17129763934759878,0.7134437628371219,Language
