analysis,target,hub_metric,n,spearman_r,spearman_p,pearson_r,pearson_p,region
arm_layer_delta_vs_base,rsa_delta_vs_base,concept_minus_format_alignment_delta_vs_base,192,-0.011612253479098285,0.8729923127267183,-0.04006801156203466,0.5810889047290808,TE1m
arm_layer_raw,rsa_spearman_mean,cross_format_rdm_spearman,224,-0.11640294682895581,0.08215322358565635,-0.08757489825949928,0.1915939134345255,TE1p
arm_layer_raw,rsa_spearman_mean,linear_cka,224,-0.16581358103779634,0.012954690706557167,-0.16761917373390375,0.011989278991589272,TE1p
arm_layer_raw,rsa_spearman_mean,retrieval_top1,224,-0.0666948556170293,0.32035946851213026,-0.10738549208630042,0.10896882420345615,TE1p
arm_layer_raw,rsa_spearman_mean,retrieval_top5,224,-0.08186287517089982,0.22231100168688409,-0.13013100651918336,0.05177443933921548,TE1p
arm_layer_raw,rsa_spearman_mean,concept_minus_format_alignment,224,0.11620862694853729,0.08266906428202808,0.05940212740673959,0.37623359777002796,TE1p
arm_layer_delta_vs_base,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,192,-0.2237575617828175,0.0018092215561945956,-0.22350285114449195,0.0018317309375221475,TE1p
arm_layer_delta_vs_base,rsa_delta_vs_base,linear_cka_delta_vs_base,192,-0.09926789734964599,0.17071801228300001,-0.07281529427441641,0.31552185298468444,TE1p
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top1_delta_vs_base,192,-0.03117885454776158,0.6676975323511807,-0.12466343238884553,0.08491845804703167,TE1p
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top5_delta_vs_base,192,-0.0384043974079048,0.5968975862245411,-0.05742684455362445,0.42883500047703704,TE1p
arm_layer_delta_vs_base,rsa_delta_vs_base,concept_minus_format_alignment_delta_vs_base,192,0.2746707403087107,0.00011548567794844114,0.26864535136225676,0.00016479216988586344,TE1p
arm_layer_raw,rsa_spearman_mean,cross_format_rdm_spearman,224,-0.18048259662609442,0.006761238168048452,-0.0935429294701537,0.16294022722475598,TE2a
arm_layer_raw,rsa_spearman_mean,linear_cka,224,0.23688127268844764,0.00034820260210700107,0.28270237475228394,1.7439751973574365e-05,TE2a
arm_layer_raw,rsa_spearman_mean,retrieval_top1,224,0.41031390573687493,1.6558681760873505e-10,0.3564223324332744,4.1154509241908447e-08,TE2a
arm_layer_raw,rsa_spearman_mean,retrieval_top5,224,0.5344920827416567,5.992304739055309e-18,0.49240751672118566,4.4032990904075e-15,TE2a
arm_layer_raw,rsa_spearman_mean,concept_minus_format_alignment,224,0.15071001494768313,0.024076772296377943,0.09821180355531817,0.142860767175909,TE2a
arm_layer_delta_vs_base,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,192,0.37178878550307903,1.0987702524569745e-07,0.3449949547485086,9.560863628455146e-07,TE2a
arm_layer_delta_vs_base,rsa_delta_vs_base,linear_cka_delta_vs_base,192,0.43661157529229855,2.4364651466204736e-10,0.3405116869633549,1.3471926060225618e-06,TE2a
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top1_delta_vs_base,192,0.10567815793424785,0.14460758956385053,-0.0006992953375553612,0.9923193247529066,TE2a
arm_layer_delta_vs_base,rsa_delta_vs_base,retrieval_top5_delta_vs_base,192,0.24286360387198777,0.0006882855242274073,0.10492910899438762,0.14749189478843416,TE2a
