region,arm,layer,layer_name,rsa_spearman_mean,rsa_spearman_se,n_subjects,n_concepts,cross_format_rdm_spearman,linear_cka,retrieval_top1,retrieval_top5,concept_minus_format_alignment,base_rsa_spearman_mean,base_cross_format_rdm_spearman,base_linear_cka,base_retrieval_top1,base_retrieval_top5,base_concept_minus_format_alignment,rsa_delta_vs_base,cross_format_rdm_spearman_delta_vs_base,linear_cka_delta_vs_base,retrieval_top1_delta_vs_base,retrieval_top5_delta_vs_base,concept_minus_format_alignment_delta_vs_base
Prefrontal,scrambled,22,layer_22,0.005686172481485101,0.004900204413942353,3,90,0.3198627914322596,0.4735040764013926,0.20703125,0.4869791666666667,-0.8248702809214592,0.0073191362493364,0.2130810414140957,0.3006217926740646,0.0377604166666666,0.1080729166666666,-0.9828300280496478,-0.0016329637678512993,0.1067817500181639,0.172882283727328,0.1692708333333334,0.3789062500000001,0.1579597471281886
Prefrontal,scrambled,23,layer_23,0.0065408757023021,0.0046214170379526385,3,90,0.270785825334747,0.4688226878643036,0.2005208333333333,0.4713541666666667,-0.849402841180563,0.007373671489856733,0.1905137018586639,0.3147670328617096,0.05078125,0.15625,-0.9776886273175478,-0.0008327957875546334,0.08027212347608309,0.154055655002594,0.1497395833333333,0.3151041666666667,0.12828578613698483
Prefrontal,scrambled,24,layer_24,0.007548315267635099,0.004784679287615578,3,90,0.2798857089417148,0.4971708059310913,0.23046875,0.546875,-0.8507995493710041,0.008563243590478,0.1844586347562333,0.3155751923720042,0.046875,0.12890625,-0.9756965395063162,-0.0010149283228429009,0.09542707418548146,0.1815956135590871,0.18359375,0.41796875,0.12489699013531208
Prefrontal,scrambled,25,layer_25,0.0098521589442511,0.0057049508955923645,3,90,0.2331499628763298,0.5005261103312174,0.2473958333333333,0.578125,-0.8359954431653023,0.009888787480265367,0.2005692135805773,0.3107900222142537,0.0481770833333333,0.16015625,-0.972365651279688,-3.6628536014266314e-05,0.0325807492957525,0.18973608811696369,0.19921875,0.41796875,0.13637020811438572
Prefrontal,scrambled,26,layer_26,0.009607081306835,0.006198338647978109,3,90,0.2869474426480076,0.5189397633075714,0.2421875,0.5807291666666666,-0.8321318924427032,0.009898422242826934,0.2017379046933584,0.3167016059160232,0.0625,0.1861979166666666,-0.9685419462621212,-0.0002913409359919343,0.0852095379546492,0.2022381573915482,0.1796875,0.39453125,0.13641005381941795
Prefrontal,scrambled,27,layer_27,0.010075547827347068,0.00720592746406649,3,90,0.2518743680688021,0.53250319759051,0.2473958333333333,0.6341145833333334,-0.8119992911815643,0.008955759838424568,0.1946396351800003,0.3223359038432439,0.06640625,0.203125,-0.9707931969314814,0.0011197879889225,0.05723473288880179,0.21016729374726612,0.1809895833333333,0.43098958333333337,0.15879390574991703
Prefrontal,scrambled,28,layer_28,0.012103351431437932,0.008067290435498387,3,90,0.2912483346144727,0.5393489797910055,0.26171875,0.6575520833333334,-0.7905274033546448,0.0090666977454773,0.1855587129437886,0.3318851391474406,0.08203125,0.2682291666666667,-0.9673464857041836,0.0030366536859606323,0.1056896216706841,0.20746384064356488,0.1796875,0.3893229166666667,0.1768190823495388
Prefrontal,scrambled,29,layer_29,0.012390042886994067,0.007791545749409361,3,90,0.3158448098458813,0.5393056273460388,0.2682291666666667,0.6432291666666666,-0.790372796356678,0.0098035551832384,0.2091662654319675,0.365272397796313,0.1653645833333333,0.4817708333333333,-0.961080465465784,0.0025864877037556668,0.1066785444139138,0.17403322954972583,0.1028645833333334,0.16145833333333331,0.17070766910910595
Prefrontal,scrambled,30,layer_30,0.010940435808190365,0.00648958027783175,3,90,0.3168197453835942,0.5288739502429962,0.25390625,0.62109375,-0.7935494780540466,0.0085191582395215,0.2551405950116396,0.3956546535094579,0.23046875,0.6171875,-0.953223180025816,0.002421277568668865,0.061679150371954594,0.13321929673353833,0.0234375,0.00390625,0.15967370197176933
Prefrontal,scrambled,31,layer_31,0.012860268241241734,0.006899523114394969,3,90,0.3247911189150135,0.5089730421702067,0.24609375,0.6328125,-0.8113218992948532,0.009510478202945066,0.2738360605049983,0.425771822532018,0.25390625,0.6549479166666666,-0.9412808679044248,0.003349790038296668,0.050955058410015186,0.08320121963818866,-0.0078125,-0.02213541666666663,0.12995896860957157
Prefrontal,scrambled,32,layer_32,0.010481099880708333,0.009909514650961699,3,90,0.294030931982377,0.4294422964255015,0.1640625,0.4544270833333333,-0.8036666885018349,0.0024476935116593333,0.3078231759676846,0.5107402404149374,0.2669270833333333,0.6953125,-0.9442831128835678,0.008033406369049,-0.013792243985307595,-0.08129794398943585,-0.10286458333333331,-0.24088541666666669,0.14061642438173294
Prefrontal,taskvec_a0p25,0,embedding,0.0097884792195065,0.009036190098391524,3,90,,,0.0078125,0.0390625,-4.21464712019315e-08,0.0097884792195065,,,0.0078125,0.0390625,-4.21464712019315e-08,0.0,,,0.0,0.0,0.0
Prefrontal,taskvec_a0p25,1,layer_1,0.008702679934035134,0.006249303683146391,3,90,0.5922570902327561,0.5684826970100403,0.0234375,0.0989583333333333,-0.8157546787988394,0.007930228762463533,0.5920686348291746,0.5480239391326904,0.0143229166666666,0.09765625,-0.8184196553193033,0.0007724511715716011,0.00018845540358147783,0.020458757877349854,0.0091145833333334,0.001302083333333301,0.0026649765204638243
Prefrontal,taskvec_a0p25,2,layer_2,0.006569912990619001,0.003598303033817614,3,90,0.630605203249856,0.6255950729052225,0.0299479166666666,0.12109375,-0.8321115374565125,0.007653334397487808,0.609874863710572,0.5821682016054789,0.0182291666666666,0.0950520833333333,-0.832064030924812,-0.001083421406868807,0.02073033953928405,0.04342687129974365,0.01171875,0.0260416666666667,-4.7506531700491905e-05
Prefrontal,taskvec_a0p25,3,layer_3,0.006223225672142167,0.004892444644721335,3,90,0.6342615374964548,0.6236589550971985,0.02734375,0.140625,-0.8565507526509464,0.007999651667857233,0.6281042769928376,0.6001794735590616,0.0182291666666666,0.1223958333333333,-0.8558664787560701,-0.0017764259957150658,0.006157260503617201,0.023479481538136837,0.009114583333333402,0.0182291666666667,-0.0006842738948762417
Prefrontal,taskvec_a0p25,4,layer_4,0.010332720614488965,0.006627986240232456,3,90,0.6904893118253838,0.7058045665423075,0.078125,0.2005208333333333,-0.8845165050588548,0.011862528817994433,0.5934740792485301,0.5712788005669912,0.0221354166666666,0.1315104166666666,-0.9065810632891952,-0.0015298082035054682,0.09701523257685363,0.1345257659753163,0.0559895833333334,0.06901041666666669,0.02206455823034037
Prefrontal,taskvec_a0p25,5,layer_5,0.009511485670281166,0.005955049262621637,3,90,0.6668243725984505,0.7320167819658915,0.0377604166666666,0.1510416666666666,-0.9250738373957574,0.009096728740297067,0.5516955903682028,0.5928051074345907,0.03125,0.1080729166666666,-0.9658103217370808,0.0004147569299840989,0.1151287822302477,0.1392116745313008,0.006510416666666602,0.04296875,0.040736484341323376
Prefrontal,taskvec_a0p25,6,layer_6,0.006946750979578101,0.006204394383384582,3,90,0.6586246844236733,0.7195625106493632,0.0442708333333333,0.1197916666666666,-0.920978833688423,0.0069531381232369,0.5417631934037848,0.5688189466794332,0.01953125,0.0625,-0.9618418683530764,-6.3871436587993255e-06,0.11686149101988852,0.15074356396992994,0.0247395833333333,0.0572916666666666,0.04086303466465335
