region,arm,layer,layer_name,model,mean_test_pearson_r,mean_test_spearman_r,mean_test_r2_vs_train_mean,n_subjects,n_test_pairs
Ventral Visual,lowrank,18,layer_18,all_single_formats,0.1958085439941277,0.19922443863514994,0.037886438901124454,3,765
Ventral Visual,lowrank,8,layer_8,mean_rdm,0.18068342518180322,0.18619391946809663,0.033059579524686,3,765
Ventral Visual,lowrank,18,layer_18,mean_repr,0.1892809265757287,0.197520640998734,0.03692150327068444,3,765
Ventral Visual,lowrank,18,layer_18,mean_repr_plus_single_formats,0.19589623110777757,0.2008907555111683,0.037707394900881486,3,765
Ventral Visual,lowrank,18,layer_18,single_feature_listing,0.2010487974133699,0.19886145154273757,0.040810066696573756,3,765
Ventral Visual,lowrank,7,layer_7,single_pairwise,0.17490338024430763,0.18372386141357056,0.02997357410653545,3,765
Ventral Visual,lowrank,8,layer_8,single_triplet,0.1830005975144354,0.18737298645894732,0.03440404023441398,3,765
Ventral Visual,scrambled,22,layer_22,all_single_formats,0.09804576003968439,0.0917544292743412,0.008555463932162258,3,765
Ventral Visual,scrambled,23,layer_23,mean_rdm,0.09536035221122656,0.09452814849778989,0.007656597536633096,3,765
Ventral Visual,scrambled,23,layer_23,mean_repr,0.08540875345992328,0.08235770333267842,0.006549583674695529,3,765
Ventral Visual,scrambled,22,layer_22,mean_repr_plus_single_formats,0.08828735155791823,0.08622200100085692,0.0060496690542862774,3,765
Ventral Visual,scrambled,8,layer_8,single_feature_listing,0.07258074193704109,0.06872633943237778,0.004672927958181121,3,765
Ventral Visual,scrambled,8,layer_8,single_pairwise,0.08951672358164885,0.10355455201824737,0.0055648558802611214,3,765
Ventral Visual,scrambled,4,layer_4,single_triplet,0.07169632939696959,0.08024257333698225,0.0036606885658529986,3,765
Ventral Visual,taskvec_a0p25,18,layer_18,all_single_formats,0.20207362161959017,0.2099558727705537,0.041545527561879715,3,765
Ventral Visual,taskvec_a0p25,18,layer_18,mean_rdm,0.19271127173055294,0.1938975067833922,0.03761948988335614,3,765
Ventral Visual,taskvec_a0p25,18,layer_18,mean_repr,0.19758392684671847,0.19832251484019214,0.039988500586550825,3,765
Ventral Visual,taskvec_a0p25,18,layer_18,mean_repr_plus_single_formats,0.20256102386906746,0.21019600874128172,0.04194296873956057,3,765
Ventral Visual,taskvec_a0p25,18,layer_18,single_feature_listing,0.20342465305458593,0.20697375337159318,0.04253425892375003,3,765
Ventral Visual,taskvec_a0p25,7,layer_7,single_pairwise,0.1762297344453616,0.18665927951703695,0.030269678345600865,3,765
Ventral Visual,taskvec_a0p25,18,layer_18,single_triplet,0.17315798837921448,0.17803261120997274,0.030064637574839792,3,765
Ventral Visual,taskvec_a0p5,19,layer_19,all_single_formats,0.1937876695281234,0.20098014645461937,0.03883179139542259,3,765
Ventral Visual,taskvec_a0p5,18,layer_18,mean_rdm,0.18640896490483297,0.19044167345921684,0.03599242748942363,3,765
Ventral Visual,taskvec_a0p5,18,layer_18,mean_repr,0.19334293036087372,0.19318310294057336,0.03902455288852066,3,765
