region,arm,model,mean_mid_test_pearson_r,mean_mid_test_spearman_r,mean_mid_test_r2_vs_train_mean,n_subjects,n_layers,n_rows
Language,scrambled,all_single_formats,-0.009422259849734467,-0.00703104869803031,-0.001689922614066076,3,11,33
Language,scrambled,mean_rdm,-0.00934042957965089,-0.004739235640545626,-0.0010462779234375885,3,11,33
Language,scrambled,mean_repr,-0.009478247240434967,-0.004206980414542164,-0.0009587766474602298,3,11,33
Language,scrambled,mean_repr_plus_single_formats,-0.006668637308584996,-0.004454595480334443,-0.001724279971772444,3,11,33
Language,scrambled,single_feature_listing,0.008336610306113618,0.0023025874054459585,-0.00028952123332300533,3,11,33
Language,scrambled,single_pairwise,-0.0002904854816216109,0.010150391784613695,-0.0006084828851111387,3,11,33
Language,scrambled,single_triplet,-0.014071138118587135,-0.008456399495245556,-0.001091489554308119,3,11,33
Language,taskvec_a0p25,all_single_formats,0.02121138904048134,0.01631163342290947,0.00044707836246908145,3,11,33
Language,taskvec_a0p25,mean_rdm,0.03686816792885468,0.0439474517546182,0.0014534251587381218,3,11,33
Language,taskvec_a0p25,mean_repr,0.03851408926202813,0.04416508221209246,0.0017156313376804125,3,11,33
Language,taskvec_a0p25,mean_repr_plus_single_formats,0.018439469751177287,0.01759999933071521,7.291863384721471e-05,3,11,33
Language,taskvec_a0p25,single_feature_listing,0.034013944792294484,0.04162942937485576,0.0013023899644712517,3,11,33
Language,taskvec_a0p25,single_pairwise,0.0303944078844177,0.034100312582800135,0.0013600449170293864,3,11,33
Language,taskvec_a0p25,single_triplet,0.033399663898833684,0.03251804293102909,0.0009425227302649541,3,11,33
Language,taskvec_a0p5,all_single_formats,0.03384218877145245,0.03219153673302552,0.001284162088677637,3,11,33
Language,taskvec_a0p5,mean_rdm,0.047742559017443745,0.053586700836904075,0.002071637042636438,3,11,33
Language,taskvec_a0p5,mean_repr,0.051068431477690426,0.052079629879663816,0.002359772458314505,3,11,33
Language,taskvec_a0p5,mean_repr_plus_single_formats,0.0319411160837921,0.0318687359685236,0.001242639871821265,3,11,33
Language,taskvec_a0p5,single_feature_listing,0.040826777654592465,0.04154660538227293,0.0015555104386264977,3,11,33
Language,taskvec_a0p5,single_pairwise,0.04648042751433825,0.05656496697489749,0.0020473574589189537,3,11,33
Language,taskvec_a0p5,single_triplet,0.04202328146734312,0.04126234291311354,0.0014265312767017813,3,11,33
Language,taskvec_a1p0,all_single_formats,0.04895988829210138,0.055760751448918316,0.0017257331902860668,3,11,33
Language,taskvec_a1p0,mean_rdm,0.03244364297196642,0.04002766436690179,0.0008565336394769186,3,11,33
Language,taskvec_a1p0,mean_repr,0.042211104064827504,0.04503995195639863,0.0014096662693595394,3,11,33
Language,taskvec_a1p0,mean_repr_plus_single_formats,0.05650949798937017,0.05855728158741746,0.0022090052889845464,3,11,33
Language,taskvec_a1p0,single_feature_listing,0.02972372069347959,0.028353026835176653,0.00015161724387077494,3,11,33
Language,taskvec_a1p0,single_pairwise,0.030664419028934565,0.033056256741023804,0.0005765640115073068,3,11,33
Language,taskvec_a1p0,single_triplet,0.040634259247673235,0.041887865898460934,0.0012603733660089369,3,11,33
Ventral Visual,base,all_single_formats,0.10563762297493032,0.121588319368958,0.0092412626014816,3,11,33
Ventral Visual,base,mean_rdm,0.10354925428243546,0.11946062728765541,0.009800783027551961,3,11,33
Ventral Visual,base,mean_repr,0.1143869872614977,0.1310064234363909,0.012351468687322485,3,11,33
Ventral Visual,base,mean_repr_plus_single_formats,0.11283168379469265,0.12563038200103466,0.010977495212866971,3,11,33
Ventral Visual,base,single_feature_listing,0.11379119689108912,0.13093327402040567,0.012555314208189167,3,11,33
Ventral Visual,base,single_pairwise,0.0370652523500682,0.06917542871325476,-0.00020302109644432242,3,11,33
Ventral Visual,base,single_triplet,0.05663989893748378,0.0733092572750952,0.0025606665585603504,3,11,33
Ventral Visual,lowLR,all_single_formats,0.1734665132054917,0.18072628104865132,0.029574571328826137,3,11,33
Ventral Visual,lowLR,mean_rdm,0.14437340859190506,0.16103974902665155,0.020288086452032894,3,11,33
Ventral Visual,lowLR,mean_repr,0.16232960225328627,0.17390178468281495,0.026223397471709202,3,11,33
Ventral Visual,lowLR,mean_repr_plus_single_formats,0.17928239706984214,0.18637260469857903,0.03182969052130502,3,11,33
Ventral Visual,lowLR,single_feature_listing,0.17480996367023063,0.1820806819726087,0.03074680354440081,3,11,33
Ventral Visual,lowLR,single_pairwise,0.09789507774014015,0.12693522254884781,0.011067840465352646,3,11,33
Ventral Visual,lowLR,single_triplet,0.13090652830244265,0.14559864880498266,0.01613360996950986,3,11,33
Ventral Visual,lowrank,all_single_formats,0.17717350357959682,0.1876235848779293,0.030869960706566557,3,11,33
Ventral Visual,lowrank,mean_rdm,0.16123320986127276,0.17935065145086687,0.02633530675295955,3,11,33
Ventral Visual,lowrank,mean_repr,0.17507028550199805,0.18724157027889496,0.03143578627689234,3,11,33
Ventral Visual,lowrank,mean_repr_plus_single_formats,0.18294670621352255,0.19298358297209214,0.03339914387245182,3,11,33
Ventral Visual,lowrank,single_feature_listing,0.17423718735533494,0.18607972112657298,0.030550997318073005,3,11,33
Ventral Visual,lowrank,single_pairwise,0.1056494584750577,0.14837614412671044,0.010804305253772878,3,11,33
Ventral Visual,lowrank,single_triplet,0.15253396385141646,0.1674927671554403,0.023374793168903035,3,11,33
Ventral Visual,scrambled,all_single_formats,0.07428069564773952,0.08868323408059224,0.0031750999620917676,3,11,33
Ventral Visual,scrambled,mean_rdm,0.07478796378439506,0.08362540832159303,0.004089592672327605,3,11,33
Ventral Visual,scrambled,mean_repr,0.06466767446758331,0.07057579098314029,0.0027167865985929123,3,11,33
Ventral Visual,scrambled,mean_repr_plus_single_formats,0.06999969612228671,0.08390701883100168,0.0018640361231742906,3,11,33
Ventral Visual,scrambled,single_feature_listing,0.048885306105504914,0.05601913680147776,0.0016144633868297672,3,11,33
Ventral Visual,scrambled,single_pairwise,0.0698860901433623,0.0824154486394224,0.0031864940313857384,3,11,33
Ventral Visual,scrambled,single_triplet,0.04559523105683636,0.054366152825706976,0.0011390643378428828,3,11,33
Ventral Visual,taskvec_a0p25,all_single_formats,0.17101376676328298,0.1813876286394401,0.029547114403400014,3,11,33
Ventral Visual,taskvec_a0p25,mean_rdm,0.157144970888253,0.16600637417410644,0.025301961432920083,3,11,33
Ventral Visual,taskvec_a0p25,mean_repr,0.16787971159209247,0.17588459528888975,0.028882082475015242,3,11,33
Ventral Visual,taskvec_a0p25,mean_repr_plus_single_formats,0.17296220792618816,0.18287319882284825,0.030297267023380176,3,11,33
