region,arm,layer,layer_name,model,mean_test_pearson_r,mean_test_spearman_r,mean_test_r2_vs_train_mean,n_subjects,n_test_pairs
Ventral Visual,lowrank,16,layer_16,single_pairwise,0.07243821819906553,0.1348319204560877,0.0002934475247489132,3,765
Ventral Visual,lowrank,16,layer_16,single_triplet,0.1529567240874565,0.17056852550688595,0.02403923139287108,3,765
Ventral Visual,lowrank,17,layer_17,all_single_formats,0.1841463728176939,0.18966101042233174,0.033304027805632054,3,765
Ventral Visual,lowrank,17,layer_17,mean_rdm,0.15878827320306166,0.18334637342148594,0.0255493001971359,3,765
Ventral Visual,lowrank,17,layer_17,mean_repr,0.1741402475933785,0.18561891367622466,0.03131192387347422,3,765
Ventral Visual,lowrank,17,layer_17,mean_repr_plus_single_formats,0.18535854943683394,0.19178318090412882,0.033639685261438235,3,765
Ventral Visual,lowrank,17,layer_17,single_feature_listing,0.19029578616380585,0.19012488732318486,0.036462779591248405,3,765
Ventral Visual,lowrank,17,layer_17,single_pairwise,0.06817543359540129,0.12961781507448486,-9.091995594238493e-05,3,765
Ventral Visual,lowrank,17,layer_17,single_triplet,0.15839713663931404,0.17479622126032027,0.025620966577788784,3,765
Ventral Visual,lowrank,18,layer_18,all_single_formats,0.1958085439941277,0.19922443863514994,0.037886438901124454,3,765
Ventral Visual,lowrank,18,layer_18,mean_rdm,0.1730659823830291,0.1912837888608252,0.03043868071744556,3,765
Ventral Visual,lowrank,18,layer_18,mean_repr,0.1892809265757287,0.197520640998734,0.03692150327068444,3,765
Ventral Visual,lowrank,18,layer_18,mean_repr_plus_single_formats,0.19589623110777757,0.2008907555111683,0.037707394900881486,3,765
Ventral Visual,lowrank,18,layer_18,single_feature_listing,0.2010487974133699,0.19886145154273757,0.040810066696573756,3,765
Ventral Visual,lowrank,18,layer_18,single_pairwise,0.07514703176255001,0.13773973056202646,0.001079494816308794,3,765
Ventral Visual,lowrank,18,layer_18,single_triplet,0.1684971437903067,0.18234172821954595,0.028345628528922234,3,765
Ventral Visual,lowrank,19,layer_19,all_single_formats,0.19492050840701547,0.19561248163822462,0.03761550027447028,3,765
Ventral Visual,lowrank,19,layer_19,mean_rdm,0.16409999522272647,0.17767678968843972,0.02687221019729702,3,765
Ventral Visual,lowrank,19,layer_19,mean_repr,0.18126934164304828,0.18923702663117473,0.03334734722985714,3,765
Ventral Visual,lowrank,19,layer_19,mean_repr_plus_single_formats,0.19351747081307524,0.19814390271120363,0.03662511575727264,3,765
Ventral Visual,lowrank,19,layer_19,single_feature_listing,0.19781123410205867,0.1967698285507615,0.03953207776622077,3,765
Ventral Visual,lowrank,19,layer_19,single_pairwise,0.07452625245118885,0.1346994199372092,0.0023137882873797513,3,765
Ventral Visual,lowrank,19,layer_19,single_triplet,0.14240317788723614,0.15392286861568408,0.0191949105650997,3,765
Ventral Visual,lowrank,20,layer_20,all_single_formats,0.18979598359348604,0.1889384760689142,0.03526379331859305,3,765
Ventral Visual,lowrank,20,layer_20,mean_rdm,0.16109764109954747,0.1785944562962272,0.025821987226713843,3,765
