arm,layer,layer_name,format_a,format_b,cross_format_rdm_spearman,linear_cka,retrieval_top1,retrieval_top5,retrieval_margin,concept_label_alignment,format_label_alignment,concept_minus_format_alignment
taskvec_a0p25,26,layer_26,pairwise,feature_listing,0.5238020715006898,0.8595057725906372,0.390625,0.9609375,-0.00133823836222291,,,
taskvec_a0p25,26,layer_26,__mean__,__mean__,0.5581037128950596,0.8809094230333964,0.4036458333333333,0.9661458333333334,-0.005718407376358907,0.14657634496688843,0.8894397616386414,-0.7428634166717529
taskvec_a0p25,27,layer_27,triplet,pairwise,0.6129645122718221,0.930463433265686,0.62890625,0.9921875,0.006306687835603952,,,
taskvec_a0p25,27,layer_27,triplet,feature_listing,0.4826129490558481,0.8300785422325134,0.17578125,0.9140625,-0.026288469322025776,,,
taskvec_a0p25,27,layer_27,pairwise,feature_listing,0.4814047580148557,0.8553542494773865,0.4453125,0.96484375,-0.00038031511940062046,,,
taskvec_a0p25,27,layer_27,__mean__,__mean__,0.525660739780842,0.8719654083251953,0.4166666666666667,0.95703125,-0.006787365535274148,0.14744460582733154,0.8963435292243958,-0.7488989233970642
taskvec_a0p25,28,layer_28,triplet,pairwise,0.6208038256515415,0.9173505902290344,0.5859375,0.9921875,0.0055252735037356615,,,
taskvec_a0p25,28,layer_28,triplet,feature_listing,0.47821117234657995,0.8181073069572449,0.15625,0.890625,-0.030175143852829933,,,
taskvec_a0p25,28,layer_28,pairwise,feature_listing,0.48601263335726236,0.857147753238678,0.4453125,0.9609375,0.00044419895857572556,,,
taskvec_a0p25,28,layer_28,__mean__,__mean__,0.5283425437851279,0.8642018834749857,0.3958333333333333,0.9479166666666666,-0.008068557130172849,0.1442423164844513,0.9031654596328735,-0.7589231431484222
taskvec_a0p25,29,layer_29,triplet,pairwise,0.5812537496506446,0.9026548862457275,0.59375,0.9921875,0.0052738741505891085,,,
taskvec_a0p25,29,layer_29,triplet,feature_listing,0.47158591818734513,0.8050183057785034,0.140625,0.93359375,-0.03337612375617027,,,
taskvec_a0p25,29,layer_29,pairwise,feature_listing,0.49340404948483857,0.8634087443351746,0.4453125,0.97265625,0.0011634069960564375,,,
taskvec_a0p25,29,layer_29,__mean__,__mean__,0.5154145724409428,0.8570273121198019,0.3932291666666667,0.9661458333333334,-0.00897961420317491,0.1459474116563797,0.8991674780845642,-0.7532200664281845
taskvec_a0p25,30,layer_30,triplet,pairwise,0.5589411844690386,0.8806682229042053,0.5859375,0.9921875,0.004560383502393961,,,
taskvec_a0p25,30,layer_30,triplet,feature_listing,0.4539649828347994,0.7745229601860046,0.14453125,0.9296875,-0.03690485469996929,,,
taskvec_a0p25,30,layer_30,pairwise,feature_listing,0.49395874301354886,0.8566914796829224,0.47265625,0.96875,0.0018763795960694551,,,
taskvec_a0p25,30,layer_30,__mean__,__mean__,0.5022883034391289,0.8372942209243774,0.4010416666666667,0.9635416666666666,-0.010156030533835292,0.14710256457328796,0.8961986899375916,-0.7490961253643036
taskvec_a0p25,31,layer_31,triplet,pairwise,0.582326749624031,0.869145393371582,0.59375,0.9921875,0.004961883649230003,,,
taskvec_a0p25,31,layer_31,triplet,feature_listing,0.4549352379436394,0.763688862323761,0.1640625,0.9375,-0.042113845236599445,,,
taskvec_a0p25,31,layer_31,pairwise,feature_listing,0.48497868747075884,0.8530721068382263,0.49609375,0.9765625,0.0037508311215788126,,,
taskvec_a0p25,31,layer_31,__mean__,__mean__,0.5074135583461431,0.8286354541778564,0.41796875,0.96875,-0.011133710155263543,0.13512670993804932,0.9092336893081665,-0.7741069793701172
taskvec_a0p25,32,layer_32,triplet,pairwise,0.6122508893567524,0.8666982650756836,0.5234375,0.984375,0.0010084426030516624,,,
taskvec_a0p25,32,layer_32,triplet,feature_listing,0.4936836533195225,0.7753565907478333,0.16796875,0.93359375,-0.029190964996814728,,,
taskvec_a0p25,32,layer_32,pairwise,feature_listing,0.5661014322439698,0.8454897403717041,0.5078125,0.9765625,0.0017604827880859375,,,
taskvec_a0p25,32,layer_32,__mean__,__mean__,0.5573453249734149,0.8291815320650736,0.3997395833333333,0.96484375,-0.00880734653522571,0.11146039515733719,0.9115688800811768,-0.8001084849238396
taskvec_a0p5,0,embedding,triplet,pairwise,nan,nan,0.0078125,0.0390625,0.0,,,
taskvec_a0p5,0,embedding,triplet,feature_listing,nan,nan,0.0078125,0.0390625,0.0,,,
taskvec_a0p5,0,embedding,pairwise,feature_listing,nan,nan,0.0078125,0.0390625,0.0,,,
taskvec_a0p5,0,embedding,__mean__,__mean__,nan,nan,0.0078125,0.0390625,0.0,0.0,4.214647120193149e-08,-4.214647120193149e-08
taskvec_a0p5,1,layer_1,triplet,pairwise,0.5680632367615369,0.5718040466308594,0.03515625,0.109375,-0.0025854313280433416,,,
taskvec_a0p5,1,layer_1,triplet,feature_listing,0.7289392729738239,0.6634361147880554,0.0625,0.1328125,-0.0008296847809106112,,,
taskvec_a0p5,1,layer_1,pairwise,feature_listing,0.5173379072454977,0.49155956506729126,0.01171875,0.05078125,-0.0016291870269924402,,,
taskvec_a0p5,1,layer_1,__mean__,__mean__,0.6047801389936195,0.5755999088287354,0.036458333333333336,0.09765625,-0.0016814343786487977,0.003610319923609495,0.832177996635437,-0.8285676767118275
taskvec_a0p5,2,layer_2,triplet,pairwise,0.5979574520795837,0.6332542896270752,0.09375,0.16796875,-0.0029523940756917,,,
taskvec_a0p5,2,layer_2,triplet,feature_listing,0.8062660923168875,0.7681604623794556,0.09765625,0.23046875,-0.0007437544409185648,,,
taskvec_a0p5,2,layer_2,pairwise,feature_listing,0.5078731899385406,0.5119644999504089,0.01171875,0.0703125,-0.0017105131410062313,,,
taskvec_a0p5,2,layer_2,__mean__,__mean__,0.6373655781116706,0.6377930839856466,0.06770833333333333,0.15625,-0.001802220552538832,0.0038585346192121506,0.853770911693573,-0.8499123770743608
taskvec_a0p5,3,layer_3,triplet,pairwise,0.6315618601795537,0.6588698625564575,0.05859375,0.1953125,-0.003262797836214304,,,
taskvec_a0p5,3,layer_3,triplet,feature_listing,0.7751594501560864,0.7413294911384583,0.09765625,0.234375,-0.0006434593815356493,,,
taskvec_a0p5,3,layer_3,pairwise,feature_listing,0.5478738929910808,0.5405457615852356,0.0078125,0.046875,-0.0018122033216059208,,,
taskvec_a0p5,3,layer_3,__mean__,__mean__,0.6515317344422403,0.6469150384267172,0.0546875,0.15885416666666666,-0.0019061535131186247,0.0026030170265585184,0.8965504765510559,-0.8939474595244974
taskvec_a0p5,4,layer_4,triplet,pairwise,0.8030726977426219,0.8252651691436768,0.1875,0.390625,-0.0024403140414506197,,,
taskvec_a0p5,4,layer_4,triplet,feature_listing,0.7610983241082755,0.8030011057853699,0.19921875,0.453125,-0.000623075757175684,,,
taskvec_a0p5,4,layer_4,pairwise,feature_listing,0.6944631455331358,0.7574427127838135,0.03515625,0.16796875,-0.0013888641260564327,,,
taskvec_a0p5,4,layer_4,__mean__,__mean__,0.7528780557946778,0.79523632923762,0.140625,0.3372395833333333,-0.0014840846415609121,0.006458455231040716,0.9074901938438416,-0.9010317386128008
taskvec_a0p5,5,layer_5,triplet,pairwise,0.8042222070557359,0.930651843547821,0.41796875,0.94921875,-0.00016684993170201778,,,
taskvec_a0p5,5,layer_5,triplet,feature_listing,0.6942367370549499,0.8736057281494141,0.0859375,0.359375,-0.0026647765189409256,,,
taskvec_a0p5,5,layer_5,pairwise,feature_listing,0.6569100704780383,0.8265578746795654,0.0546875,0.23046875,-0.0028340660501271486,,,
taskvec_a0p5,5,layer_5,__mean__,__mean__,0.7184563381962414,0.8769384821256002,0.18619791666666666,0.5130208333333334,-0.001888564166923364,0.026994645595550537,0.9194665551185608,-0.8924719095230103
taskvec_a0p5,6,layer_6,triplet,pairwise,0.8455217969900783,0.9411516189575195,0.27734375,0.8125,-0.0008279227185994387,,,
taskvec_a0p5,6,layer_6,triplet,feature_listing,0.6493433806717396,0.8388676643371582,0.015625,0.10546875,-0.005047997692599893,,,
taskvec_a0p5,6,layer_6,pairwise,feature_listing,0.631176241473186,0.8114723563194275,0.0234375,0.1015625,-0.005768003175035119,,,
taskvec_a0p5,6,layer_6,__mean__,__mean__,0.7086804730450013,0.863830546538035,0.10546875,0.33984375,-0.0038813078620781503,0.014833757653832436,0.9121248126029968,-0.8972910549491644
taskvec_a0p5,7,layer_7,triplet,pairwise,0.875909194259418,0.956074595451355,0.64453125,0.9921875,0.0015325532294809818,,,
taskvec_a0p5,7,layer_7,triplet,feature_listing,0.7722378283164801,0.9209631085395813,0.1640625,0.4453125,-0.006527813384309411,,,
taskvec_a0p5,7,layer_7,pairwise,feature_listing,0.699910943679201,0.900367796421051,0.12109375,0.34375,-0.0088810077868402,,,
taskvec_a0p5,7,layer_7,__mean__,__mean__,0.7826859887516998,0.9258018334706625,0.3098958333333333,0.59375,-0.0046254226472228765,0.04474177956581116,0.8779413104057312,-0.83319953083992
taskvec_a0p5,8,layer_8,triplet,pairwise,0.8733201638680492,0.9467357993125916,0.51953125,0.9375,-5.5229756981134415e-05,,,
taskvec_a0p5,8,layer_8,triplet,feature_listing,0.7810569098496886,0.9323614835739136,0.2578125,0.49609375,-0.007122594630345702,,,
taskvec_a0p5,8,layer_8,pairwise,feature_listing,0.7576848764792293,0.9238632917404175,0.13671875,0.44140625,-0.007312330650165677,,,
